"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"02010","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Aleutian Islands Census Area, AK ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","8","CA91","20","1990","Outflows of earnings","Aleutian Islands Census Area, AK ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02010","8","CA91","30","1990","Residence adjustment","Aleutian Islands Census Area, AK ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"02013","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Aleutians East Borough, AK ",6222,8747,6774,7253,8192,8164,8641,9090,10071,11054,12020,4000,3000,3140,3370,3560,3770,3990,4190,4350,4460,4680,4900
"02013","8","CA91","20","1990","Outflows of earnings","Aleutians East Borough, AK ",10293,13841,16611,12003,13138,15399,16103,17134,17014,19450,19356,16813,13863,15065,15652,16875,17445,17464,18202,18283,18248,20441,20244
"02013","8","CA91","30","1990","Residence adjustment","Aleutians East Borough, AK ",-4071,-5094,-9837,-4750,-4946,-7235,-7462,-8044,-6943,-8396,-7336,-12813,-10863,-11925,-12282,-13315,-13675,-13474,-14012,-13933,-13788,-15761,-15344
"02016","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Aleutians West Census Area, AK ",1199,1296,1486,1391,1552,1708,1955,2256,2681,3179,3603,3491,3539,3430,3613,3684,3967,4322,4730,4273,4302,4423,4997
"02016","8","CA91","20","1990","Outflows of earnings","Aleutians West Census Area, AK ",48191,60926,75146,79121,68638,66568,62600,46913,48830,59349,49845,47501,56178,71807,70435,74600,75044,74821,74477,71780,72552,82545,88597
"02016","8","CA91","30","1990","Residence adjustment","Aleutians West Census Area, AK ",-46992,-59630,-73660,-77730,-67086,-64860,-60645,-44657,-46149,-56170,-46242,-44010,-52639,-68377,-66822,-70916,-71077,-70499,-69747,-67507,-68250,-78122,-83600
"02020","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Anchorage Municipality, AK ",340048,341514,344841,359500,383238,393837,396626,377206,418748,392659,427639,565319,565849,566004,578105,592024,648108,706689,762881,769061,779855,810407,857062
"02020","8","CA91","20","1990","Outflows of earnings","Anchorage Municipality, AK ",691674,730266,749393,803174,838526,843185,876014,906021,973302,989557,1069129,1244849,1322806,1392007,1505997,1634356,1826105,2074993,2271086,2401575,2492221,2697046,2801226
"02020","8","CA91","30","1990","Residence adjustment","Anchorage Municipality, AK ",-351626,-388752,-404552,-443674,-455288,-449348,-479388,-528815,-554554,-596898,-641490,-679530,-756957,-826003,-927892,-1042332,-1177997,-1368304,-1508205,-1632514,-1712366,-1886639,-1944164
"02050","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bethel Census Area, AK ",5360,5689,5743,6005,6440,6466,6643,6070,6619,6173,6717,7421,7642,7293,7398,7654,9041,10555,12119,12800,13081,14496,15161
"02050","8","CA91","20","1990","Outflows of earnings","Bethel Census Area, AK ",2525,2888,3194,3846,3941,4475,4569,4988,5445,5481,6225,6063,7072,8786,10103,8862,7910,7864,7610,8768,9088,11665,11146
"02050","8","CA91","30","1990","Residence adjustment","Bethel Census Area, AK ",2835,2801,2549,2159,2499,1991,2074,1082,1174,692,492,1358,570,-1493,-2705,-1208,1131,2691,4509,4032,3993,2831,4015
"02060","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bristol Bay Borough, AK ",450,434,375,331,326,310,268,185,160,91,54,0,0,0,0,0,0,0,0,0,800,800,840
"02060","8","CA91","20","1990","Outflows of earnings","Bristol Bay Borough, AK ",16553,15536,15775,14806,15502,14873,14974,16196,16858,16628,19705,16924,15869,27713,30759,35522,36172,41028,39462,40693,44047,45111,41229
"02060","8","CA91","30","1990","Residence adjustment","Bristol Bay Borough, AK ",-16103,-15102,-15400,-14475,-15176,-14563,-14706,-16011,-16698,-16537,-19651,-16924,-15869,-27713,-30759,-35522,-36172,-41028,-39462,-40693,-43247,-44311,-40389
"02068","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Denali Borough, AK ","(NA)",3216,3587,3890,4306,4738,5122,5415,5985,6352,7145,12312,10566,12124,13275,17283,20873,24586,22531,23466,24318,27364,31636
"02068","8","CA91","20","1990","Outflows of earnings","Denali Borough, AK ","(NA)",9871,13921,18840,18890,21436,27940,30709,39912,48921,43393,44626,45129,46245,51197,53104,56327,59773,60118,59317,60026,61826,63237
"02068","8","CA91","30","1990","Residence adjustment","Denali Borough, AK ","(NA)",-6655,-10334,-14950,-14584,-16698,-22818,-25294,-33927,-42569,-36248,-32314,-34563,-34121,-37922,-35821,-35454,-35187,-37587,-35851,-35708,-34462,-31601
"02070","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Dillingham Census Area, AK ",262,506,554,588,600,607,611,616,645,670,691,682,740,779,826,879,921,975,1025,1067,1104,1185,1244
"02070","8","CA91","20","1990","Outflows of earnings","Dillingham Census Area, AK ",9288,5991,6698,4738,3757,3196,2560,3110,2844,3537,5433,4288,4167,4473,4640,4857,5245,5233,5257,5655,5970,6963,6804
"02070","8","CA91","30","1990","Residence adjustment","Dillingham Census Area, AK ",-9026,-5485,-6144,-4150,-3157,-2589,-1949,-2494,-2199,-2867,-4742,-3606,-3427,-3694,-3814,-3978,-4324,-4258,-4232,-4588,-4866,-5778,-5560
"02090","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Fairbanks North Star Borough, AK ",57215,58080,55457,57457,64354,61986,58928,56552,60976,58865,58455,54578,56236,52892,53120,59418,65747,76782,84495,88424,90859,103282,105674
"02090","8","CA91","20","1990","Outflows of earnings","Fairbanks North Star Borough, AK ",175446,185221,200881,204944,204813,213414,217301,226742,235119,242414,257973,276868,297434,321179,341951,375832,408462,417539,436502,448103,458089,494098,508228
"02090","8","CA91","30","1990","Residence adjustment","Fairbanks North Star Borough, AK ",-118231,-127141,-145424,-147487,-140459,-151428,-158373,-170190,-174143,-183549,-199518,-222290,-241198,-268287,-288831,-316414,-342715,-340757,-352007,-359679,-367230,-390816,-402554
"02100","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Haines Borough, AK ",8126,8519,8432,8209,8940,9054,9352,8771,9580,8621,9901,12433,12329,11709,11712,12247,14752,17544,20100,20835,21214,23587,24695
"02100","8","CA91","20","1990","Outflows of earnings","Haines Borough, AK ",3341,2402,2296,3367,3192,3721,4133,4037,4464,4786,5675,7392,7436,7414,8643,8997,9139,7667,7697,8112,8387,8777,8611
"02100","8","CA91","30","1990","Residence adjustment","Haines Borough, AK ",4785,6117,6136,4842,5748,5333,5219,4734,5116,3835,4226,5041,4893,4295,3069,3250,5613,9877,12403,12723,12827,14810,16084
"02105","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Hoonah-Angoon Census Area, AK ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",13196,13833,14290,15750,16590
"02105","8","CA91","20","1990","Outflows of earnings","Hoonah-Angoon Census Area, AK ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5044,4534,4734,5047,5395
"02105","8","CA91","30","1990","Residence adjustment","Hoonah-Angoon Census Area, AK ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8152,9299,9556,10703,11195
"02110","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Juneau City and Borough, AK ",14178,12604,12167,4573,4134,3951,3677,3454,3240,3116,3130,3333,3557,3692,3760,4040,4361,4773,4719,4811,4811,5163,5438
"02110","8","CA91","20","1990","Outflows of earnings","Juneau City and Borough, AK ",18767,20189,22289,21391,21248,21381,20956,20037,19193,18562,18193,20026,20238,21509,21943,23477,25049,26244,27150,27375,29409,31816,34422
"02110","8","CA91","30","1990","Residence adjustment","Juneau City and Borough, AK ",-4589,-7585,-10122,-16818,-17114,-17430,-17279,-16583,-15953,-15446,-15063,-16693,-16681,-17817,-18183,-19437,-20688,-21471,-22431,-22564,-24598,-26653,-28984
"02122","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Kenai Peninsula Borough, AK ",78895,85740,86525,90127,99976,102532,108009,102079,115781,106680,123869,176293,177018,168416,174108,184819,229309,280129,329055,338278,345629,381888,400797
"02122","8","CA91","20","1990","Outflows of earnings","Kenai Peninsula Borough, AK ",27935,27989,27614,28162,27519,27042,25837,25706,40067,39620,48137,87137,83444,81159,85646,89227,91548,94443,101557,104492,109859,116359,121444
