"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"47001","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Anderson, TN ",290368,287860,305409,314442,330313,333360,337731,351757,377100,390990,412261,423309,439694,459897,491149,515977,540658,568568,583207,556420,553614,575417,597970
"47001","5","CA91","20","1990","Outflows of earnings","Anderson, TN ",561299,666880,741610,831319,830050,866241,867058,851106,847657,877274,904080,945132,996849,1068583,1092018,1116686,1171803,1179508,1237574,1227214,1410687,1528506,1513873
"47001","5","CA91","30","1990","Residence adjustment","Anderson, TN ",-270931,-379020,-436201,-516877,-499737,-532881,-529327,-499349,-470557,-486284,-491819,-521823,-557155,-608686,-600869,-600709,-631145,-610940,-654367,-670794,-857073,-953089,-915903
"47003","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bedford, TN ",68606,74578,87601,95309,106847,114378,121033,133183,145303,158228,171709,180525,189319,195841,209769,218630,232218,243135,249431,229989,235289,247493,270663
"47003","5","CA91","20","1990","Outflows of earnings","Bedford, TN ",46005,48827,54059,58305,62974,69254,68526,75307,83617,88843,96019,107149,111764,121890,133059,139399,150007,158084,157969,146303,152209,157943,165575
"47003","5","CA91","30","1990","Residence adjustment","Bedford, TN ",22601,25751,33542,37004,43873,45124,52507,57876,61686,69385,75690,73376,77555,73951,76710,79231,82211,85051,91462,83686,83080,89550,105088
"47005","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Benton, TN ",46872,47152,51059,54297,57319,57312,57199,58192,60600,62687,66260,64737,66707,69180,71955,74546,77037,77485,76262,72174,77370,81487,84104
"47005","5","CA91","20","1990","Outflows of earnings","Benton, TN ",15567,19274,17182,19459,22250,25009,23197,26227,25025,26859,27875,28466,27518,26781,27742,28608,29719,30736,31633,30303,30480,31622,33299
"47005","5","CA91","30","1990","Residence adjustment","Benton, TN ",31305,27878,33877,34838,35069,32303,34002,31965,35575,35828,38385,36271,39189,42399,44213,45938,47318,46749,44629,41871,46890,49865,50805
"47007","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bledsoe, TN ",32428,34234,37264,44794,50212,51674,55641,62330,68259,76384,83578,86214,91108,97916,104300,109685,119402,122943,120069,105032,106326,123340,128859
"47007","5","CA91","20","1990","Outflows of earnings","Bledsoe, TN ",13349,13712,15435,14651,15892,18394,20208,20849,23136,24004,25272,23926,22449,20750,21727,21406,22331,23764,25223,25015,24376,23185,24536
"47007","5","CA91","30","1990","Residence adjustment","Bledsoe, TN ",19079,20522,21829,30143,34320,33280,35433,41481,45123,52380,58306,62288,68659,77166,82573,88279,97071,99179,94846,80017,81950,100155,104323
"47009","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Blount, TN ",401691,404900,419694,472663,505177,511091,531990,552203,584184,600987,646410,625564,648929,678026,717391,745395,773774,804603,807809,765553,796612,848172,853159
"47009","5","CA91","20","1990","Outflows of earnings","Blount, TN ",122138,143289,179850,172945,187035,222352,231793,258041,301960,349648,377285,459590,475147,517957,558073,580571,636014,677727,687134,628467,623405,663777,714573
"47009","5","CA91","30","1990","Residence adjustment","Blount, TN ",279553,261611,239844,299718,318142,288739,300197,294162,282224,251339,269125,165974,173782,160069,159318,164824,137760,126876,120675,137086,173207,184395,138586
"47011","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bradley, TN ",172280,178115,196104,215676,232407,244983,256217,276249,293648,317103,339536,359433,366704,382515,396216,414610,434477,448806,446091,415371,425799,447646,467871
"47011","5","CA91","20","1990","Outflows of earnings","Bradley, TN ",127296,140844,161848,170004,189373,207627,234116,262831,282965,315245,331582,343956,349624,363807,385756,394423,397525,410969,407419,390516,398217,435887,487366
"47011","5","CA91","30","1990","Residence adjustment","Bradley, TN ",44984,37271,34256,45672,43034,37356,22101,13418,10683,1858,7954,15477,17080,18708,10460,20187,36952,37837,38672,24855,27582,11759,-19495
"47013","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Campbell, TN ",66977,68819,76262,84647,90907,97834,102613,108359,116535,125562,135470,154330,162210,170333,179259,188061,197489,203260,206218,193236,204340,219533,226813
"47013","5","CA91","20","1990","Outflows of earnings","Campbell, TN ",25503,25345,27578,28852,30282,34040,36898,39008,40200,40030,42412,43662,45143,50659,58499,64032,58424,63347,64455,57634,54680,54556,58797
"47013","5","CA91","30","1990","Residence adjustment","Campbell, TN ",41474,43474,48684,55795,60625,63794,65715,69351,76335,85532,93058,110668,117067,119674,120760,124029,139065,139913,141763,135602,149660,164977,168016
"47015","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cannon, TN ",58532,60187,65826,74627,85263,90991,91560,101398,107940,116122,125987,133337,139686,148835,157088,161488,167675,174433,170813,150405,149032,148252,161250
"47015","5","CA91","20","1990","Outflows of earnings","Cannon, TN ",10314,11961,12186,10709,9530,10092,11873,12167,12779,14293,15411,15948,17917,20106,23090,27656,27435,29276,30248,27633,29759,31368,33043
