"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"56001","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Albany, WY ",15703,16331,16781,17274,17983,18146,18599,19745,21553,23387,25679,28070,29487,30596,32645,35005,38445,41619,44607,43014,43550,45993,48127
"56001","7","CA91","20","1990","Outflows of earnings","Albany, WY ",5592,6347,6944,7799,8935,9765,10584,11525,12779,14088,15895,16563,17374,17517,18483,18834,19555,21462,22019,22320,21997,23280,22746
"56001","7","CA91","30","1990","Residence adjustment","Albany, WY ",10111,9984,9837,9475,9048,8381,8015,8220,8774,9299,9784,11507,12113,13079,14162,16171,18890,20157,22588,20694,21553,22713,25381
"56003","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Big Horn, WY ",7086,7571,8128,8832,9702,10308,11050,11744,12385,13365,14285,16766,17143,17723,18847,20285,22897,25842,27966,27002,27761,29170,30310
"56003","7","CA91","20","1990","Outflows of earnings","Big Horn, WY ",7804,8521,9079,10018,11118,11666,13695,16194,17568,17952,19554,22578,21847,22750,24031,25488,29206,25151,27395,24344,26579,28325,29390
"56003","7","CA91","30","1990","Residence adjustment","Big Horn, WY ",-718,-950,-951,-1186,-1416,-1358,-2645,-4450,-5183,-4587,-5269,-5812,-4704,-5027,-5184,-5203,-6309,691,571,2658,1182,845,920
"56005","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Campbell, WY ",6313,6851,7441,7982,8734,9655,10262,11012,11441,12253,13785,14258,15436,16048,17299,18823,22705,25687,28427,25694,25758,26843,28904
"56005","7","CA91","20","1990","Outflows of earnings","Campbell, WY ",34087,37997,40556,45731,51245,55332,60682,67995,75420,83704,95444,119746,122779,125409,140416,155925,200612,214608,243691,225687,232369,234076,239496
"56005","7","CA91","30","1990","Residence adjustment","Campbell, WY ",-27774,-31146,-33115,-37749,-42511,-45677,-50420,-56983,-63979,-71451,-81659,-105488,-107343,-109361,-123117,-137102,-177907,-188921,-215264,-199993,-206611,-207233,-210592
"56007","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Carbon, WY ",15785,16184,16301,16185,16093,15331,13707,13689,13468,13015,12678,13470,13441,14420,15810,17860,21226,22274,25310,23129,23518,26103,27367
"56007","7","CA91","20","1990","Outflows of earnings","Carbon, WY ",17975,18181,17320,15403,15853,15812,15324,16412,16565,15944,16803,16418,16230,16804,17802,21454,31244,42003,45878,28763,29707,28949,31356
"56007","7","CA91","30","1990","Residence adjustment","Carbon, WY ",-2190,-1997,-1019,782,240,-481,-1617,-2723,-3097,-2929,-4125,-2948,-2789,-2384,-1992,-3594,-10018,-19729,-20568,-5634,-6189,-2846,-3989
"56009","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Converse, WY ",19521,21462,23030,25891,28610,30437,32799,36702,40557,44864,52697,63015,64138,66823,74956,83470,102902,110813,123345,110270,114284,120814,127446
"56009","7","CA91","20","1990","Outflows of earnings","Converse, WY ",15623,16716,17201,18352,19388,19732,20509,22132,22880,23067,23310,23768,24675,25846,27731,30238,34121,38356,45752,44195,44879,48065,53272
"56009","7","CA91","30","1990","Residence adjustment","Converse, WY ",3898,4746,5829,7539,9222,10705,12290,14570,17677,21797,29387,39247,39463,40977,47225,53232,68781,72457,77593,66075,69405,72749,74174
"56011","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Crook, WY ",20457,22852,24932,25908,28188,30283,31879,33736,34846,36764,40821,48188,50470,51958,56393,62286,73470,80065,89268,84686,87787,87435,89462
"56011","7","CA91","20","1990","Outflows of earnings","Crook, WY ",5162,6516,6681,8208,8252,10633,11019,10917,9919,10749,11886,12948,13582,13617,15680,17398,20852,23071,23081,21103,21477,22420,24019
"56011","7","CA91","30","1990","Residence adjustment","Crook, WY ",15295,16336,18251,17700,19936,19650,20860,22819,24927,26015,28935,35240,36888,38341,40713,44888,52618,56994,66187,63583,66310,65015,65443
