"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"28001","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adams, MS ",32779,33738,36844,39637,43044,48091,53199,55358,62213,67753,72942,74057,73710,76631,84226,88579,92972,96921,101643,100808,105993,113197,120814
"28001","5","CA91","20","1990","Outflows of earnings","Adams, MS ",73111,69295,79120,81952,85755,83871,82612,86694,87436,89849,83643,85472,95877,84553,80956,87063,99852,104854,109398,92271,88744,91956,95570
"28001","5","CA91","30","1990","Residence adjustment","Adams, MS ",-40332,-35557,-42276,-42315,-42711,-35780,-29413,-31336,-25223,-22096,-10701,-11415,-22167,-7922,3270,1516,-6880,-7933,-7755,8537,17249,21241,25244
"28003","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Alcorn, MS ",44447,51587,60267,64251,63946,65839,69161,73171,77890,83870,88754,94665,99157,99460,102566,105841,107859,108002,108995,99910,101547,106799,111735
"28003","5","CA91","20","1990","Outflows of earnings","Alcorn, MS ",51285,53677,60888,66131,71573,73849,72904,80414,85845,92249,98958,101479,97814,98310,104580,108861,107736,111694,115593,110608,112261,114280,120537
"28003","5","CA91","30","1990","Residence adjustment","Alcorn, MS ",-6838,-2090,-621,-1880,-7627,-8010,-3743,-7243,-7955,-8379,-10204,-6814,1343,1150,-2014,-3020,123,-3692,-6598,-10698,-10714,-7481,-8802
"28005","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Amite, MS ",34289,36800,40577,43650,47665,51426,55219,59259,63899,66788,70519,71024,74185,75597,79782,84311,93145,95623,101703,99636,105712,112836,110216
"28005","5","CA91","20","1990","Outflows of earnings","Amite, MS ",9777,10528,10713,11004,11250,11207,11348,11636,12405,12742,13331,14736,14307,10745,11417,12460,16345,17592,17068,12364,12662,12767,12599
"28005","5","CA91","30","1990","Residence adjustment","Amite, MS ",24512,26272,29864,32646,36415,40219,43871,47623,51494,54046,57188,56288,59878,64852,68365,71851,76800,78031,84635,87272,93050,100069,97617
"28007","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Attala, MS ",22602,24096,25915,27954,31687,34144,36905,39959,43006,44275,45826,51391,52870,55984,59948,64393,68832,71685,74963,69758,70310,73029,77672
