"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"33001","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Belknap, NH ",175897,176446,189819,203983,222324,240982,259473,283944,310874,339926,383226,414171,425496,439920,459100,477795,503125,526009,540296,528725,546637,564838,573438
"33001","1","CA91","20","1990","Outflows of earnings","Belknap, NH ",113866,111817,115388,122577,135859,149417,159377,177630,197306,212598,230889,252492,260320,271878,292693,308625,320303,329745,333240,324698,323048,327466,326421
"33001","1","CA91","30","1990","Residence adjustment","Belknap, NH ",62031,64629,74431,81406,86465,91565,100096,106314,113568,127328,152337,161679,165176,168042,166407,169170,182822,196264,207056,204027,223589,237372,247017
"33003","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Carroll, NH ",69600,72545,80127,88186,98594,109795,120170,135368,153266,170671,195012,215349,217847,224912,237864,247404,258413,270284,279252,272916,280812,290629,294828
"33003","1","CA91","20","1990","Outflows of earnings","Carroll, NH ",45134,44444,47934,50820,55320,59769,65062,71136,76932,83420,90700,101432,106004,110769,118153,120078,126458,130929,135265,133503,138042,142497,142747
"33003","1","CA91","30","1990","Residence adjustment","Carroll, NH ",24466,28101,32193,37366,43274,50026,55108,64232,76334,87251,104312,113917,111843,114143,119711,127326,131955,139355,143987,139413,142770,148132,152081
"33005","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cheshire, NH ",180909,183101,200339,211539,223780,238195,252620,269716,294451,316954,348828,369606,383864,393845,409747,415501,427869,447668,456206,438611,453867,475491,484163
"33005","1","CA91","20","1990","Outflows of earnings","Cheshire, NH ",101041,101651,107011,109023,115009,119322,126141,130517,139786,147514,154308,163492,167619,173287,186081,199267,220462,213092,223051,218259,220917,227117,232501
"33005","1","CA91","30","1990","Residence adjustment","Cheshire, NH ",79868,81450,93328,102516,108771,118873,126479,139199,154665,169440,194520,206114,216245,220558,223666,216234,207407,234576,233155,220352,232950,248374,251662
"33007","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Coos, NH ",34610,36672,40602,44460,48368,51740,55685,62886,68326,74983,81789,85222,85266,88153,93825,99356,107821,115255,120960,120631,126976,133628,135845
"33007","1","CA91","20","1990","Outflows of earnings","Coos, NH ",28033,28649,30312,33099,34053,36077,38666,41274,48426,49412,52199,58367,59976,64224,68184,69744,72367,75064,77774,77799,78942,79122,80487
"33007","1","CA91","30","1990","Residence adjustment","Coos, NH ",6577,8023,10290,11361,14315,15663,17019,21612,19900,25571,29590,26855,25290,23929,25641,29612,35454,40191,43186,42832,48034,54506,55358
