"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"08001","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adams, CO ",1965622,2093243,2253811,2416839,2570726,2777067,3011825,3384355,3751967,4164346,4759984,4859944,4740349,4771171,5092176,5346593,5714438,6029867,6162965,5934363,5939560,6233277,6675331
"08001","7","CA91","20","1990","Outflows of earnings","Adams, CO ",1407776,1544789,1737584,1914081,2025878,2112890,2183110,2295371,2524408,2797562,3074578,3232700,3242220,3253007,3446384,3654612,3814706,4019956,4207749,4179721,4272461,4481967,4668313
"08001","7","CA91","30","1990","Residence adjustment","Adams, CO ",557846,548454,516227,502758,544848,664177,828715,1088984,1227559,1366784,1685406,1627244,1498129,1518164,1645792,1691981,1899732,2009911,1955216,1754642,1667099,1751310,2007018
"08003","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Alamosa, CO ",13270,14339,14971,16746,18439,19647,19245,20631,21193,22549,24208,27680,29089,30320,30813,31297,32565,34753,34306,36235,36384,36629,37957
"08003","7","CA91","20","1990","Outflows of earnings","Alamosa, CO ",17209,19219,21433,24786,28645,32156,36025,40303,43137,46911,51176,59531,62593,64717,66891,70214,72754,77201,81095,83896,85331,87525,88362
"08003","7","CA91","30","1990","Residence adjustment","Alamosa, CO ",-3939,-4880,-6462,-8040,-10206,-12509,-16780,-19672,-21944,-24362,-26968,-31851,-33504,-34397,-36078,-38917,-40189,-42448,-46789,-47661,-48947,-50896,-50405
"08005","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Arapahoe, CO ",3868499,4008829,4249360,4462273,4541294,4708461,4988673,5381770,5846878,6237817,7104772,7463016,6993564,7075205,7509963,7722843,8180471,8549933,8642225,8259052,8222166,8364154,8986678
"08005","7","CA91","20","1990","Outflows of earnings","Arapahoe, CO ",2327348,2628117,2897943,3260572,3652144,4108606,4638687,5267354,6099499,7195575,8082788,8085725,7994861,8076361,8303282,8985193,9927423,10444214,10789359,10772860,11085382,12091408,12742549
"08005","7","CA91","30","1990","Residence adjustment","Arapahoe, CO ",1541151,1380712,1351417,1201701,889150,599855,349986,114416,-252621,-957758,-978016,-622709,-1001297,-1001156,-793319,-1262350,-1746952,-1894281,-2147134,-2513808,-2863216,-3727254,-3755871
"08007","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Archuleta, CO ",3269,3618,4002,4494,5187,5765,6344,6939,7576,8285,9234,10070,10636,11413,12408,13335,14450,15606,16265,15636,15872,15900,16533
"08007","7","CA91","20","1990","Outflows of earnings","Archuleta, CO ",1338,1596,1523,1586,1761,1904,2076,2383,2749,3169,3640,3931,4014,4117,4386,4577,5131,5622,5650,5202,5063,5419,5508
"08007","7","CA91","30","1990","Residence adjustment","Archuleta, CO ",1931,2022,2479,2908,3426,3861,4268,4556,4827,5116,5594,6139,6622,7296,8022,8758,9319,9984,10615,10434,10809,10481,11025
"08009","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Baca, CO ",811,874,947,1033,1131,1217,1319,1492,1663,1811,1964,1854,1893,1922,2028,1991,2073,2258,2316,2333,2353,2551,2524
"08009","7","CA91","20","1990","Outflows of earnings","Baca, CO ",760,857,1002,1034,1146,1263,1363,1533,1644,1773,1854,1676,1744,1682,1682,1762,1816,1935,1949,2081,2080,2160,2218
"08009","7","CA91","30","1990","Residence adjustment","Baca, CO ",51,17,-55,-1,-15,-46,-44,-41,19,38,110,178,149,240,346,229,257,323,367,252,273,391,306
"08011","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bent, CO ",4096,4651,5321,6145,7003,7992,9043,10386,11623,12696,13841,13751,14060,14421,14598,14461,14172,14755,15715,15409,15662,16462,15976
"08011","7","CA91","20","1990","Outflows of earnings","Bent, CO ",8904,9531,10055,11072,11950,12567,12766,13378,14012,14418,15946,15370,10132,10305,10854,11143,11098,11528,12486,12712,12651,11924,9842
"08011","7","CA91","30","1990","Residence adjustment","Bent, CO ",-4808,-4880,-4734,-4927,-4947,-4575,-3723,-2992,-2389,-1722,-2105,-1619,3928,4116,3744,3318,3074,3227,3229,2697,3011,4538,6134
"08013","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Boulder, CO ",944721,1004614,1098713,1171685,1202795,1281225,1388079,1528475,1579552,1810670,1893069,1972866,2211018,2246298,2290552,2495193,2614357,2727464,2773325,2665923,2658092,2754509,2961724
"08013","7","CA91","20","1990","Outflows of earnings","Boulder, CO ",727802,840019,953912,1068920,1213212,1350729,1466868,1662656,2125532,2299083,3118694,3131352,2639680,2648244,2856353,3047724,3214895,3459963,3580855,3426520,3572229,3826316,4026736
"08013","7","CA91","30","1990","Residence adjustment","Boulder, CO ",216919,164595,144801,102765,-10417,-69504,-78789,-134181,-545980,-488413,-1225625,-1158486,-428662,-401946,-565801,-552531,-600538,-732499,-807530,-760597,-914137,-1071807,-1065012
"08014","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Broomfield, CO ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,0,0,0,0,0,0,0,0,0,0
"08014","7","CA91","20","1990","Outflows of earnings","Broomfield, CO ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",493254,513870,577280,600880,673930,822020,813550,793280,790270,851320,940510
"08014","7","CA91","30","1990","Residence adjustment","Broomfield, CO ","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-493254,-513870,-577280,-600880,-673930,-822020,-813550,-793280,-790270,-851320,-940510
"08015","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Chaffee, CO ",8016,8903,8316,8088,8306,9397,9920,10593,11600,12472,13947,15799,15936,16269,16503,17546,18823,19983,21163,20807,20622,21219,22217
"08015","7","CA91","20","1990","Outflows of earnings","Chaffee, CO ",4854,5744,6156,6716,7632,8682,9587,10722,11906,13700,15139,16662,17231,17681,18082,19274,20512,21201,22220,21776,21741,22646,23997
"08015","7","CA91","30","1990","Residence adjustment","Chaffee, CO ",3162,3159,2160,1372,674,715,333,-129,-306,-1228,-1192,-863,-1295,-1412,-1579,-1728,-1689,-1218,-1057,-969,-1119,-1427,-1780
"08017","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cheyenne, CO ",647,733,881,1036,1221,1366,1501,1768,1922,2071,2244,2265,2172,1867,1981,2331,2575,2722,2856,2712,3762,3409,3157
"08017","7","CA91","20","1990","Outflows of earnings","Cheyenne, CO ",3002,3375,3321,3389,3612,4496,4288,5381,5825,5743,6444,4584,4497,4604,4364,4504,4456,4663,4984,5017,4995,5387,6048
"08017","7","CA91","30","1990","Residence adjustment","Cheyenne, CO ",-2355,-2642,-2440,-2353,-2391,-3130,-2787,-3613,-3903,-3672,-4200,-2319,-2325,-2737,-2383,-2173,-1881,-1941,-2128,-2305,-1233,-1978,-2891
"08019","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Clear Creek, CO ",67235,72270,84015,88294,89583,95080,109981,121410,131441,144020,164264,183370,187367,204500,215024,219399,218927,214635,214526,205186,203556,208082,221273
"08019","7","CA91","20","1990","Outflows of earnings","Clear Creek, CO ",19403,20036,18987,19886,22212,24339,21528,24776,26349,27695,27609,27075,27360,48969,54703,59444,68353,80679,95121,81334,91852,110284,105757
"08019","7","CA91","30","1990","Residence adjustment","Clear Creek, CO ",47832,52234,65028,68408,67371,70741,88453,96634,105092,116325,136655,156295,160007,155531,160321,159955,150574,133956,119405,123852,111704,97798,115516
"08021","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Conejos, CO ",9994,11134,12266,14050,16120,17802,19310,21263,22648,24549,26671,30530,31937,32946,34052,35576,36950,39036,41127,41871,42357,43626,44217
"08021","7","CA91","20","1990","Outflows of earnings","Conejos, CO ",3112,3244,3231,3488,3669,3938,4042,4336,4287,4564,5047,4593,4717,4964,4990,5182,5390,5600,5631,5613,5757,5898,6223
"08021","7","CA91","30","1990","Residence adjustment","Conejos, CO ",6882,7890,9035,10562,12451,13864,15268,16927,18361,19985,21624,25937,27220,27982,29062,30394,31560,33436,35496,36258,36600,37728,37994
"08023","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Costilla, CO ",7216,7527,7926,8534,9152,9879,10801,11884,12890,13902,15501,15811,15440,15850,16561,17345,18580,19708,21320,20525,20556,21405,22513
"08023","7","CA91","20","1990","Outflows of earnings","Costilla, CO ",1429,1577,1927,2251,2620,3028,3271,3289,3319,3660,4252,4025,4125,4088,4224,4176,4207,5024,4299,4686,4846,5009,5233
"08023","7","CA91","30","1990","Residence adjustment","Costilla, CO ",5787,5950,5999,6283,6532,6851,7530,8595,9571,10242,11249,11786,11315,11762,12337,13169,14373,14684,17021,15839,15710,16396,17280
"08025","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Crowley, CO ",4084,4848,5499,6292,7105,8103,9035,10075,11188,12147,13367,13904,13872,14277,14784,14990,15137,15799,16516,16438,16802,17122,17533
"08025","7","CA91","20","1990","Outflows of earnings","Crowley, CO ",9946,10244,10382,10615,11310,11451,11967,13198,14069,17511,18636,18629,19262,19387,19563,19992,20868,20886,23259,22998,23038,23421,23442
"08025","7","CA91","30","1990","Residence adjustment","Crowley, CO ",-5862,-5396,-4883,-4323,-4205,-3348,-2932,-3123,-2881,-5364,-5269,-4725,-5390,-5110,-4779,-5002,-5731,-5087,-6743,-6560,-6236,-6299,-5909
"08027","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Custer, CO ",6756,7165,7891,9377,10985,12120,12592,13577,14390,15053,16106,17046,17170,17617,18456,19041,19770,20931,22059,21996,22344,23222,23520
"08027","7","CA91","20","1990","Outflows of earnings","Custer, CO ",335,431,489,618,758,1002,1227,1576,1801,2011,2472,2698,2978,2928,3285,2704,2722,3179,3428,3518,3718,4016,3801
"08027","7","CA91","30","1990","Residence adjustment","Custer, CO ",6421,6734,7402,8759,10227,11118,11365,12001,12589,13042,13634,14348,14192,14689,15171,16337,17048,17752,18631,18478,18626,19206,19719
"08029","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Delta, CO ",24415,26344,31129,36502,42165,47633,52329,58641,63178,68840,76521,88152,90065,95887,106152,113562,124494,135901,146136,138977,139861,139968,140827
"08029","7","CA91","20","1990","Outflows of earnings","Delta, CO ",9731,10334,11272,12321,13918,14583,14266,15516,15874,16189,16874,16574,18280,18623,19928,21303,23043,25776,26546,25220,24432,26287,27380
"08029","7","CA91","30","1990","Residence adjustment","Delta, CO ",14684,16010,19857,24181,28247,33050,38063,43125,47304,52651,59647,71578,71785,77264,86224,92259,101451,110125,119590,113757,115429,113681,113447
"08031","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Denver, CO ",1798742,1951418,2105847,2260449,2428818,2628631,2866154,3150525,3499492,3958640,4428855,4552269,4497098,4570922,4703413,5060238,5562990,5872474,6079734,6186613,6361429,6771607,7275884
"08031","7","CA91","20","1990","Outflows of earnings","Denver, CO ",7557096,7969075,8563262,9246178,9532558,10000396,10592406,11633698,12872661,13899815,15948781,16708104,15409893,15467047,16275825,17052515,18305473,19257441,19739814,18309817,18431184,19130205,20057778
"08031","7","CA91","30","1990","Residence adjustment","Denver, CO ",-5758354,-6017657,-6457415,-6985729,-7103740,-7371765,-7726252,-8483173,-9373169,-9941175,-11519926,-12155835,-10912795,-10896125,-11572412,-11992277,-12742483,-13384967,-13660080,-12123204,-12069755,-12358598,-12781894
"08033","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Dolores, CO ",2872,2609,3057,3640,4123,4770,5058,5557,6597,7344,7888,8152,8331,8414,8864,9572,10320,11337,11482,10653,10976,11286,11459
"08033","7","CA91","20","1990","Outflows of earnings","Dolores, CO ",1300,931,1010,857,819,705,735,742,884,1039,1155,1193,1344,1244,978,1070,1368,1496,1534,1107,1175,1105,2025
"08033","7","CA91","30","1990","Residence adjustment","Dolores, CO ",1572,1678,2047,2783,3304,4065,4323,4815,5713,6305,6733,6959,6987,7170,7886,8502,8952,9841,9948,9546,9801,10181,9434
"08035","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Douglas, CO ",1015698,1421784,1677813,2049495,2379223,2781694,3067597,3419653,3778054,4406573,5248073,5556137,5350602,5469400,6174878,7223029,8427408,9334575,9967066,10112051,10882811,12069887,12310620
"08035","7","CA91","20","1990","Outflows of earnings","Douglas, CO ",146655,140460,162928,179817,211909,258913,338990,460894,639675,805096,1004160,1216019,1267786,1399983,1800714,1984795,2015798,1925829,1767721,1564409,1228416,972500,1413751
"08035","7","CA91","30","1990","Residence adjustment","Douglas, CO ",869043,1281324,1514885,1869678,2167314,2522781,2728607,2958759,3138379,3601477,4243913,4340118,4082816,4069417,4374164,5238234,6411610,7408746,8199345,8547642,9654395,11097387,10896869
"08037","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Eagle, CO ",53985,56722,64226,71188,80889,86007,93964,104223,115758,128211,164152,157511,155576,160493,167558,179345,192630,209123,219355,195036,186697,192886,202687
"08037","7","CA91","20","1990","Outflows of earnings","Eagle, CO ",52400,55108,63815,70252,79394,87144,95990,108866,119351,127299,134947,134748,129721,129616,137250,151947,168775,182218,189342,162439,150231,151465,156361
"08037","7","CA91","30","1990","Residence adjustment","Eagle, CO ",1585,1614,411,936,1495,-1137,-2026,-4643,-3593,912,29205,22763,25855,30877,30308,27398,23855,26905,30013,32597,36466,41421,46326
"08039","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Elbert, CO ",103024,116976,135129,161115,193276,223726,259950,270009,310931,341672,410338,442237,437001,439598,491355,535714,568210,593683,625481,627668,642288,694519,732692
"08039","7","CA91","20","1990","Outflows of earnings","Elbert, CO ",6140,6242,7350,8278,8811,10376,11519,14741,16857,21569,25133,31826,35487,37037,60218,73952,78500,78826,75796,65927,70557,69469,74554
"08039","7","CA91","30","1990","Residence adjustment","Elbert, CO ",96884,110734,127779,152837,184465,213350,248431,255268,294074,320103,385205,410411,401514,402561,431137,461762,489710,514857,549685,561741,571731,625050,658138
"08041","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","El Paso, CO ",221596,240369,271737,295856,315955,348145,375303,421783,477349,536518,614826,659776,653275,667023,695764,728708,774098,815924,839132,819747,830528,871310,932446
"08041","7","CA91","20","1990","Outflows of earnings","El Paso, CO ",226393,249567,273263,299710,342441,380056,432883,480888,542134,598457,676888,706635,707520,726142,769877,826221,861883,890454,910634,911038,930718,965306,990705
"08041","7","CA91","30","1990","Residence adjustment","El Paso, CO ",-4797,-9198,-1526,-3854,-26486,-31911,-57580,-59105,-64785,-61939,-62062,-46859,-54245,-59119,-74113,-97513,-87785,-74530,-71502,-91291,-100190,-93996,-58259
"08043","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Fremont, CO ",33750,37853,42984,48431,55387,62790,70676,80163,90631,101062,114083,123331,124620,127154,135271,140975,148485,155400,160567,158401,161386,168867,174998
"08043","7","CA91","20","1990","Outflows of earnings","Fremont, CO ",25187,26932,31203,36660,42734,47040,51608,57727,63380,68851,78938,93733,93471,95746,97705,101034,103066,106332,114285,112655,114213,116526,115381
