"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"50001","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Addison, VT ",99217,101394,107336,113620,117614,126274,135660,144670,156915,170016,187041,206783,210003,218559,231894,240220,248537,258376,266713,258067,263665,282381,293179
"50001","1","CA91","20","1990","Outflows of earnings","Addison, VT ",43124,44047,45970,48220,50839,54690,59400,64273,72441,80103,89111,101668,106741,111030,115979,119700,129355,133775,136247,129210,127882,137566,140244
"50001","1","CA91","30","1990","Residence adjustment","Addison, VT ",56093,57347,61366,65400,66775,71584,76260,80397,84474,89913,97930,105115,103262,107529,115915,120520,119182,124601,130466,128857,135783,144815,152935
"50003","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bennington, VT ",58480,60066,65203,69483,73631,78327,83325,90014,98376,106288,117458,126479,127835,130543,138092,143042,149170,155026,160975,154795,157376,165429,170792
"50003","1","CA91","20","1990","Outflows of earnings","Bennington, VT ",59869,61311,66742,71123,76762,80941,84865,92170,100990,109261,118292,130429,133147,136189,142028,148389,155168,164854,169803,161213,164117,170682,172165
"50003","1","CA91","30","1990","Residence adjustment","Bennington, VT ",-1389,-1245,-1539,-1640,-3131,-2614,-1540,-2156,-2614,-2973,-834,-3950,-5312,-5646,-3936,-5347,-5998,-9828,-8828,-6418,-6741,-5253,-1373
"50005","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Caledonia, VT ",46359,47567,51835,56323,60941,65009,68623,74408,80720,88551,97433,107610,111337,117180,124655,130281,135112,140646,144206,141081,144516,153580,157272
"50005","1","CA91","20","1990","Outflows of earnings","Caledonia, VT ",29062,30422,34170,33962,34514,36234,38076,40656,43103,46078,50950,55946,58243,60994,65773,68672,72232,76319,79117,74609,75173,79955,79916
"50005","1","CA91","30","1990","Residence adjustment","Caledonia, VT ",17297,17145,17665,22361,26427,28775,30547,33752,37617,42473,46483,51664,53094,56186,58882,61609,62880,64327,65089,66472,69343,73625,77356
"50007","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Chittenden, VT ",106803,109130,117260,124551,130673,137207,147255,154951,169182,186732,203673,232621,238909,250770,293159,294474,303074,308675,316269,308820,312160,318248,325605
"50007","1","CA91","20","1990","Outflows of earnings","Chittenden, VT ",399940,408500,429600,454328,470367,512124,540920,585336,630417,692880,775127,847643,852199,907915,956166,1001606,1041613,1113504,1162778,1135323,1186134,1295369,1349818
"50007","1","CA91","30","1990","Residence adjustment","Chittenden, VT ",-293137,-299370,-312340,-329777,-339694,-374917,-393665,-430385,-461235,-506148,-571454,-615022,-613290,-657145,-663007,-707132,-738539,-804829,-846509,-826503,-873974,-977121,-1024213
"50009","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Essex, VT ",22699,23388,25548,26358,27544,29097,30821,33266,36682,38834,42196,45430,46280,49386,52133,53966,56898,59994,61751,59960,61154,63583,64225
"50009","1","CA91","20","1990","Outflows of earnings","Essex, VT ",20258,21722,23495,24951,25385,25661,26278,28365,29607,31156,31724,29355,26271,24722,28486,31470,31432,29663,28527,25478,26706,25473,24858
"50009","1","CA91","30","1990","Residence adjustment","Essex, VT ",2441,1666,2053,1407,2159,3436,4543,4901,7075,7678,10472,16075,20009,24664,23647,22496,25466,30331,33224,34482,34448,38110,39367
"50011","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Franklin, VT ",162954,170393,179267,191136,200536,221610,224372,248188,264298,287647,326504,355846,355131,391751,412379,437941,459985,508057,540660,529189,554401,623087,647411
"50011","1","CA91","20","1990","Outflows of earnings","Franklin, VT ",32969,34530,38823,42353,44659,46879,53095,54940,61341,69553,75707,84938,90659,98203,121773,112647,112389,109115,110004,109498,107027,99421,101766
"50011","1","CA91","30","1990","Residence adjustment","Franklin, VT ",129985,135863,140444,148783,155877,174731,171277,193248,202957,218094,250797,270908,264472,293548,290606,325294,347596,398942,430656,419691,447374,523666,545645
"50013","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Grand Isle, VT ",47392,46529,50477,53671,57120,61157,66862,72054,77321,90822,103501,116101,118738,124034,130488,136540,139171,146423,147894,144353,158841,161004,171617
"50013","1","CA91","20","1990","Outflows of earnings","Grand Isle, VT ",2947,3377,3707,3848,3990,4339,4638,4989,5417,5795,6443,7454,7691,8454,15623,21117,22776,22908,22479,24376,28885,27962,28359
"50013","1","CA91","30","1990","Residence adjustment","Grand Isle, VT ",44445,43152,46770,49823,53130,56818,62224,67065,71904,85027,97058,108647,111047,115580,114865,115423,116395,123515,125415,119977,129956,133042,143258
"50015","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Lamoille, VT ",62219,63549,67660,71890,75001,80752,86641,92778,100707,111519,123905,138778,140861,146530,154832,160913,165338,173207,181110,176197,179986,191796,198085
"50015","1","CA91","20","1990","Outflows of earnings","Lamoille, VT ",29740,30381,33159,35853,37747,40219,42665,45469,47653,51223,55070,62266,66111,68884,74456,79071,82608,85250,89888,86393,87415,94954,97737
"50015","1","CA91","30","1990","Residence adjustment","Lamoille, VT ",32479,33168,34501,36037,37254,40533,43976,47309,53054,60296,68835,76512,74750,77646,80376,81842,82730,87957,91222,89804,92571,96842,100348
"50017","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Orange, VT ",123457,125811,135835,145700,157058,164151,171333,184047,199415,216694,235282,257482,268178,284703,302952,318210,330266,347262,359506,355585,363975,382933,391409
"50017","1","CA91","20","1990","Outflows of earnings","Orange, VT ",41081,40950,43421,47183,50305,53096,55338,57413,59176,62335,67579,75307,80890,84020,86557,90801,95202,98627,98981,97195,98710,103880,107419
"50017","1","CA91","30","1990","Residence adjustment","Orange, VT ",82376,84861,92414,98517,106753,111055,115995,126634,140239,154359,167703,182175,187288,200683,216395,227409,235064,248635,260525,258390,265265,279053,283990
"50019","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Orleans, VT ",19000,20164,22774,24625,26319,28588,30827,33834,36910,40928,45728,50838,52906,55486,59758,62594,64978,67663,70780,68395,69463,74038,75488
"50019","1","CA91","20","1990","Outflows of earnings","Orleans, VT ",12422,13106,14042,14641,15327,16368,16885,17772,18680,19999,22275,24521,25828,28337,30732,32665,34286,36102,37286,37199,38958,40802,42260
"50019","1","CA91","30","1990","Residence adjustment","Orleans, VT ",6578,7058,8732,9984,10992,12220,13942,16062,18230,20929,23453,26317,27078,27149,29026,29929,30692,31561,33494,31196,30505,33236,33228
"50021","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Rutland, VT ",54929,57628,63672,69531,76277,81233,87923,96036,106868,117762,130947,145982,150424,157010,166753,173737,182427,191494,197529,190769,191851,202423,207530
"50021","1","CA91","20","1990","Outflows of earnings","Rutland, VT ",60471,60385,63031,66018,69886,74364,78099,82944,88449,91505,98588,109942,113572,118743,129342,133199,135609,140820,144098,134844,135454,144210,147510
"50021","1","CA91","30","1990","Residence adjustment","Rutland, VT ",-5542,-2757,641,3513,6391,6869,9824,13092,18419,26257,32359,36040,36852,38267,37411,40538,46818,50674,53431,55925,56397,58213,60020
"50023","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Washington, VT ",88307,91240,98553,106678,113263,123360,134604,145782,159631,175779,196095,220583,227023,237249,251291,262024,274623,287264,296752,288976,295965,316344,326499
"50023","1","CA91","20","1990","Outflows of earnings","Washington, VT ",132204,135644,146857,159107,171469,181711,187960,201408,215641,242716,268629,303030,309567,324105,345597,363206,367343,385738,408798,400733,407867,434401,443201
"50023","1","CA91","30","1990","Residence adjustment","Washington, VT ",-43897,-44404,-48304,-52429,-58206,-58351,-53356,-55626,-56010,-66937,-72534,-82447,-82544,-86856,-94306,-101182,-92720,-98474,-112046,-111757,-111902,-118057,-116702
"50025","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Windham, VT ",57375,60274,67117,73104,82311,88615,97279,106682,118323,130284,144679,154715,156862,163323,174271,181905,192008,199332,205812,197566,201165,210006,216155
