"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"34001","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Atlantic, NJ ",399721,408471,440190,457032,488629,515899,553638,580781,612335,654739,708733,762453,796155,845181,906331,959629,1002173,1032883,1074412,1062217,1067216,1104568,1131315
"34001","2","CA91","20","1990","Outflows of earnings","Atlantic, NJ ",1081579,1057429,1112468,1159616,1188638,1219518,1265110,1321250,1377871,1428398,1490920,1607168,1655610,1717481,1801288,1874983,1924017,1964481,1969090,1814301,1809584,1847087,1852991
"34001","2","CA91","30","1990","Residence adjustment","Atlantic, NJ ",-681858,-648958,-672278,-702584,-700009,-703619,-711472,-740469,-765536,-773659,-782187,-844715,-859455,-872300,-894957,-915354,-921844,-931598,-894678,-752084,-742368,-742519,-721676
"34003","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bergen, NJ ",8804493,8834717,9615156,9810737,10110988,10571892,11205958,11979508,12807277,13682189,15603010,15648319,15247107,15425429,16451091,17385397,18682301,20352569,20300192,18514092,19376188,20670912,21541424
"34003","2","CA91","20","1990","Outflows of earnings","Bergen, NJ ",7650833,7454705,7675527,7891762,7993724,8324659,8742623,9169833,9984814,10262056,10891327,10979781,11034015,11373506,11695097,12135282,12500724,13227628,13259054,12791710,12879180,13245528,13678944
"34003","2","CA91","30","1990","Residence adjustment","Bergen, NJ ",1153660,1380012,1939629,1918975,2117264,2247233,2463335,2809675,2822463,3420133,4711683,4668538,4213092,4051923,4755994,5250115,6181577,7124941,7041138,5722382,6497008,7425384,7862480
"34005","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Burlington, NJ ",3198299,3290737,3502708,3644468,3797234,3873052,4057390,4289138,4549291,4790814,5185076,5525445,5663328,5889308,6141031,6375705,6657451,6850829,6967662,6671159,6662752,6877962,6978941
"34005","2","CA91","20","1990","Outflows of earnings","Burlington, NJ ",1833242,1837690,1937083,1982914,2094212,2248806,2405493,2575441,2829572,3010107,3214511,3422840,3599371,3793821,4038082,4287544,4520441,4695380,4777422,4734471,4846521,5049653,5314678
"34005","2","CA91","30","1990","Residence adjustment","Burlington, NJ ",1365057,1453047,1565625,1661554,1703022,1624246,1651897,1713697,1719719,1780707,1970565,2102605,2063957,2095487,2102949,2088161,2137010,2155449,2190240,1936688,1816231,1828309,1664263
"34007","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Camden, NJ ",3516878,3591202,3775199,3869617,3982922,4086887,4256324,4508376,4807292,4949050,5294395,5692533,5869499,6120298,6395821,6665526,7036062,7231591,7342158,7149911,7118397,7509072,7692214
"34007","2","CA91","20","1990","Outflows of earnings","Camden, NJ ",2567277,2496083,2595604,2656481,2776742,2877154,3038967,3146920,3323414,3529900,3648223,3726004,3880690,4130469,4363821,4632664,4738886,4975177,5064603,4835863,4907155,4961624,5107206
"34007","2","CA91","30","1990","Residence adjustment","Camden, NJ ",949601,1095119,1179595,1213136,1206180,1209733,1217357,1361456,1483878,1419150,1646172,1966529,1988809,1989829,2032000,2032862,2297176,2256414,2277555,2314048,2211242,2547448,2585008
"34009","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cape May, NJ ",453734,456729,482310,513772,524515,544720,568783,617796,670471,697047,739850,808060,828725,853545,890449,917968,932474,957759,939303,864848,860140,861328,863687
"34009","2","CA91","20","1990","Outflows of earnings","Cape May, NJ ",143779,141305,151369,152366,163645,168936,178903,181180,181261,193281,205872,221482,236480,253982,280495,300486,308789,305860,323095,324324,330149,339032,343751
"34009","2","CA91","30","1990","Residence adjustment","Cape May, NJ ",309955,315424,330941,361406,360870,375784,389880,436616,489210,503766,533978,586578,592245,599563,609954,617482,623685,651899,616208,540524,529991,522296,519936
"34011","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cumberland, NJ ",377666,378042,412647,432505,451195,441530,443958,473254,507754,546783,569888,605309,630485,657025,696779,725301,773185,799736,816721,784933,808896,829625,855611
"34011","2","CA91","20","1990","Outflows of earnings","Cumberland, NJ ",364839,374134,387756,394902,416582,466322,517258,535497,535555,546248,593340,642442,669172,714203,771988,809506,811481,833752,851016,846973,813232,846021,838318
"34011","2","CA91","30","1990","Residence adjustment","Cumberland, NJ ",12827,3908,24891,37603,34613,-24792,-73300,-62243,-27801,535,-23452,-37133,-38687,-57178,-75209,-84205,-38296,-34016,-34295,-62040,-4336,-16396,17293
"34013","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Essex, NJ ",5793440,5798274,6313269,6499498,6650591,6996043,7456627,8006945,8893271,9434899,10822023,10949251,10654910,10822240,11523208,12249869,13224195,14336693,14363982,13597941,14249933,14946185,15253541
"34013","2","CA91","20","1990","Outflows of earnings","Essex, NJ ",7356423,7572750,7886160,8174472,8492579,8898705,9281460,9548472,9928363,10656462,11178099,11986261,12195397,12452152,13150659,13425718,14014832,14692544,14876669,14360554,14322372,15000680,15457632
"34013","2","CA91","30","1990","Residence adjustment","Essex, NJ ",-1562983,-1774476,-1572891,-1674974,-1841988,-1902662,-1824833,-1541527,-1035092,-1221563,-356076,-1037010,-1540487,-1629912,-1627451,-1175849,-790637,-355851,-512687,-762613,-72439,-54495,-204091
"34015","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Gloucester, NJ ",1932661,1989427,2073814,2165251,2245593,2289116,2393485,2618159,2800701,2975707,3184276,3434793,3549694,3729800,3961640,4181441,4438949,4658627,4792982,4718014,4813384,5166210,5287185
"34015","2","CA91","20","1990","Outflows of earnings","Gloucester, NJ ",747409,758711,838665,867950,943623,1023855,1088189,1124885,1196018,1261544,1349680,1432960,1493971,1591883,1698026,1786845,1851921,1873936,1903107,1816000,1775949,1716738,1762708
"34015","2","CA91","30","1990","Residence adjustment","Gloucester, NJ ",1185252,1230716,1235149,1297301,1301970,1265261,1305296,1493274,1604683,1714163,1834596,2001833,2055723,2137917,2263614,2394596,2587028,2784691,2889875,2902014,3037435,3449472,3524477
"34017","2","CA91","10","1990","Inflows of earnings (thousands of dollars)","Hudson, NJ ",4043604,4114113,4350867,4527922,4720606,4995679,5365577,5949834,6511166,7077037,7893603,8369257,8045023,8180441,8861439,9507851,10432905,11676279,12074932,11817621,12561861,13652666,14063640
"34017","2","CA91","20","1990","Outflows of earnings","Hudson, NJ ",4332420,4417195,4967131,5251649,5513405,5949273,6443289,6587294,7112618,7654637,9062830,9225250,9786684,9571161,10388550,11008945,11634333,12506562,12449866,11707353,12070824,12151750,12222396
