"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"54001","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Barbour, WV ",39193,39727,40964,41556,45152,46662,49563,53577,56019,60115,64297,71186,73113,75695,81254,84324,93184,96104,101790,98838,101751,107915,111249
"54001","5","CA91","20","1990","Outflows of earnings","Barbour, WV ",16971,16257,17621,19401,19829,15562,15433,15287,15191,15638,14637,13298,13441,15687,15789,16095,17910,20983,24424,26554,28794,30960,31954
"54001","5","CA91","30","1990","Residence adjustment","Barbour, WV ",22222,23470,23343,22155,25323,31100,34130,38290,40828,44477,49660,57888,59672,60008,65465,68229,75274,75121,77366,72284,72957,76955,79295
"54003","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Berkeley, WV ",246135,236526,244055,259134,284314,307572,337258,389360,412556,432816,520975,549476,580914,619124,670761,743739,801290,851738,874035,887876,960278,1033212,1020957
"54003","5","CA91","20","1990","Outflows of earnings","Berkeley, WV ",85111,102453,120756,132987,144181,154245,161924,165192,188489,213753,211805,227971,236895,254512,268725,275089,293362,291586,300846,281899,254830,265693,305256
"54003","5","CA91","30","1990","Residence adjustment","Berkeley, WV ",161024,134073,123299,126147,140133,153327,175334,224168,224067,219063,309170,321505,344019,364612,402036,468650,507928,560152,573189,605977,705448,767519,715701
"54005","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Boone, WV ",78793,80649,81540,82095,89934,92367,94560,99669,102160,107701,111414,116858,118558,118224,124989,133598,147224,152756,167158,157194,158998,173588,191342
"54005","5","CA91","20","1990","Outflows of earnings","Boone, WV ",141518,151404,161156,123330,149187,170929,172817,169404,175418,164539,171075,181067,187042,197514,230433,245543,272682,273134,305553,318628,323944,374003,306376
"54005","5","CA91","30","1990","Residence adjustment","Boone, WV ",-62725,-70755,-79616,-41235,-59253,-78562,-78257,-69735,-73258,-56838,-59661,-64209,-68484,-79290,-105444,-111945,-125458,-120378,-138395,-161434,-164946,-200415,-115034
"54007","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Braxton, WV ",18811,19921,21459,23436,25749,26730,28209,30574,32695,35358,38262,40213,41295,47052,51524,54845,59605,64173,69777,69315,73899,81758,84210
"54007","5","CA91","20","1990","Outflows of earnings","Braxton, WV ",18517,14834,13441,13184,13079,16393,18959,17728,19432,21150,22341,23516,26666,28414,30668,32824,35769,35978,37815,35075,34424,34345,35012
"54007","5","CA91","30","1990","Residence adjustment","Braxton, WV ",294,5087,8018,10252,12670,10337,9250,12846,13263,14208,15921,16697,14629,18638,20856,22021,23836,28195,31962,34240,39475,47413,49198
"54009","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brooke, WV ",154019,149668,156836,157661,163931,171585,174172,172930,179819,188612,203443,192110,196396,201402,204125,208138,219507,226964,244725,230248,230746,243665,255397
"54009","5","CA91","20","1990","Outflows of earnings","Brooke, WV ",111945,110866,120082,134972,145598,141736,150133,145019,157518,157689,167092,175530,173415,167077,185877,201631,194979,192272,197867,183795,185275,201114,193630
"54009","5","CA91","30","1990","Residence adjustment","Brooke, WV ",42074,38802,36754,22689,18333,29849,24039,27911,22301,30923,36351,16580,22981,34325,18248,6507,24528,34692,46858,46453,45471,42551,61767
"54011","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cabell, WV ",162750,174459,200492,209790,225229,229690,233389,244282,259803,270561,284483,305537,311485,319271,329410,338620,362436,371084,386189,380287,383468,396932,400882
"54011","5","CA91","20","1990","Outflows of earnings","Cabell, WV ",382890,400129,413018,445202,463841,498319,527618,555622,576431,620722,655472,678537,702166,713860,769897,817948,891650,949409,1034809,1020715,1027391,1110640,1164312
"54011","5","CA91","30","1990","Residence adjustment","Cabell, WV ",-220140,-225670,-212526,-235412,-238612,-268629,-294229,-311340,-316628,-350161,-370989,-373000,-390681,-394589,-440487,-479328,-529214,-578325,-648620,-640428,-643923,-713708,-763430
"54013","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Calhoun, WV ",11953,12533,13923,15000,16195,16810,17749,18873,20062,20964,22011,22390,21702,20875,21953,22725,24371,25328,26109,25110,25863,27636,28850
"54013","5","CA91","20","1990","Outflows of earnings","Calhoun, WV ",6791,6417,7467,7456,6777,6469,6213,6499,6942,7480,7927,10669,11064,12019,13039,11314,13489,14128,15322,13754,14049,15030,16859
"54013","5","CA91","30","1990","Residence adjustment","Calhoun, WV ",5162,6116,6456,7544,9418,10341,11536,12374,13120,13484,14084,11721,10638,8856,8914,11411,10882,11200,10787,11356,11814,12606,11991
"54015","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Clay, WV ",27717,28700,30063,31306,33918,34084,34189,34285,36050,36992,38799,42591,42562,42097,44596,47023,51846,52640,60018,57929,58991,63785,66188
"54015","5","CA91","20","1990","Outflows of earnings","Clay, WV ",8647,8672,9691,11135,13782,18196,22384,25869,26604,30553,30890,27475,30359,28630,31815,33327,37514,50101,46553,48542,42024,50334,40012
"54015","5","CA91","30","1990","Residence adjustment","Clay, WV ",19070,20028,20372,20171,20136,15888,11805,8416,9446,6439,7909,15116,12203,13467,12781,13696,14332,2539,13465,9387,16967,13451,26176
"54017","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Doddridge, WV ",32626,34540,34919,36233,38954,38302,41225,44910,47175,49339,51834,48337,57675,57163,59790,63737,65702,64914,67695,69454,70586,75653,81360
"54017","5","CA91","20","1990","Outflows of earnings","Doddridge, WV ",6680,5358,6057,6513,6932,7223,7451,7769,7801,8744,9184,8492,9894,10861,11474,11940,13652,14852,15849,17939,19030,20525,36546
"54017","5","CA91","30","1990","Residence adjustment","Doddridge, WV ",25946,29182,28862,29720,32022,31079,33774,37141,39374,40595,42650,39845,47781,46302,48316,51797,52050,50062,51846,51515,51556,55128,44814
"54019","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Fayette, WV ",106337,113346,119821,122464,133253,144796,154042,161913,171735,181877,191892,209006,210880,211474,226897,241859,265734,274478,294716,291739,292805,320718,321584
"54019","5","CA91","20","1990","Outflows of earnings","Fayette, WV ",64722,69480,72524,79966,86295,89163,93159,97033,98699,97853,101172,104025,113164,109534,115294,116986,129116,147556,163206,152660,155516,173381,169966
"54019","5","CA91","30","1990","Residence adjustment","Fayette, WV ",41615,43866,47297,42498,46958,55633,60883,64880,73036,84024,90720,104981,97716,101940,111603,124873,136618,126922,131510,139079,137289,147337,151618
"54021","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Gilmer, WV ",11519,11203,11884,12156,12091,11919,12132,12255,12662,13141,13403,13513,14044,14457,15620,15634,17072,17850,19434,19524,20462,22338,23420
"54021","5","CA91","20","1990","Outflows of earnings","Gilmer, WV ",5980,6183,5973,6219,6423,5847,6236,6612,6880,6561,7014,9503,8819,13549,15243,16573,17395,18420,20194,20625,21676,23206,24442
"54021","5","CA91","30","1990","Residence adjustment","Gilmer, WV ",5539,5020,5911,5937,5668,6072,5896,5643,5782,6580,6389,4010,5225,908,377,-939,-323,-570,-760,-1101,-1214,-868,-1022
"54023","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Grant, WV ",18027,18875,20682,23915,26294,28125,30069,32634,35125,39532,43099,47611,51859,53528,57690,59433,62080,63611,62983,61878,62969,65271,66653
"54023","5","CA91","20","1990","Outflows of earnings","Grant, WV ",81631,75861,71206,55670,49339,48709,48202,43886,39877,40558,41940,72374,53902,59584,48784,55663,57706,75681,85933,80922,65671,78162,78890
