"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"12001","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Alachua, FL ",114797,122927,132021,143786,151902,164072,173159,182576,193570,215308,226951,249286,258740,278267,296657,322184,342396,353857,353648,339991,343751,348505,359293
"12001","5","CA91","20","1990","Outflows of earnings","Alachua, FL ",293669,315585,345609,375088,415189,444948,489160,535924,601167,616674,673770,706584,739008,766728,876827,938406,996246,1050279,1073828,1044101,1072746,1092748,1107355
"12001","5","CA91","30","1990","Residence adjustment","Alachua, FL ",-178872,-192658,-213588,-231302,-263287,-280876,-316001,-353348,-407597,-401366,-446819,-457298,-480268,-488461,-580170,-616222,-653850,-696422,-720180,-704110,-728995,-744243,-748062
"12003","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Baker, FL ",99056,98570,102936,107690,114851,121869,133091,142046,145951,165163,179638,187720,192945,204526,217973,230938,245837,253088,242550,224531,220901,224966,236613
"12003","5","CA91","20","1990","Outflows of earnings","Baker, FL ",32030,34887,35911,37484,38418,40541,40723,43180,48389,46093,49069,52545,55940,62478,67425,73171,76148,81708,84583,82448,83761,84271,83406
"12003","5","CA91","30","1990","Residence adjustment","Baker, FL ",67026,63683,67025,70206,76433,81328,92368,98866,97562,119070,130569,135175,137005,142048,150548,157767,169689,171380,157967,142083,137140,140695,153207
"12005","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bay, FL ",50928,54002,58867,63220,67545,72489,77371,82318,87502,91295,98393,94291,98358,107051,116605,131346,140604,144081,143394,135962,135589,138667,142814
"12005","5","CA91","20","1990","Outflows of earnings","Bay, FL ",67146,75126,83533,91087,99335,108227,120034,129851,141890,150516,159192,162114,173444,188593,206620,235203,255987,255540,252187,235055,243672,249458,244884
"12005","5","CA91","30","1990","Residence adjustment","Bay, FL ",-16218,-21124,-24666,-27867,-31790,-35738,-42663,-47533,-54388,-59221,-60799,-67823,-75086,-81542,-90015,-103857,-115383,-111459,-108793,-99093,-108083,-110791,-102070
"12007","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bradford, FL ",91475,95709,103948,111221,124929,133590,154106,173092,193126,177985,196536,208816,217104,228835,256421,275587,294066,310508,315483,309309,319084,322193,312553
