"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"49001","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Beaver, UT ",1752,2018,2062,2391,2841,3213,3716,4164,4736,5259,5840,6584,7128,6999,7667,8336,9178,9904,10056,9472,9744,10218,10351
"49001","7","CA91","20","1990","Outflows of earnings","Beaver, UT ",3587,4178,3850,3977,4415,5039,5720,5845,6331,6598,6934,6776,7787,7728,8362,9366,10067,11755,12060,16080,11922,14177,12362
"49001","7","CA91","30","1990","Residence adjustment","Beaver, UT ",-1835,-2160,-1788,-1586,-1574,-1826,-2004,-1681,-1595,-1339,-1094,-192,-659,-729,-695,-1030,-889,-1851,-2004,-6608,-2178,-3959,-2011
"49003","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Box Elder, UT ",63941,70175,75081,78873,87054,97641,111880,125366,129911,155334,166296,189454,193826,201962,215916,225451,249154,275654,277781,283403,303405,360347,397924
"49003","7","CA91","20","1990","Outflows of earnings","Box Elder, UT ",188992,195779,213675,224145,230714,235567,236217,244100,278644,242517,261737,243344,244180,252006,263662,292699,313819,326356,357866,303888,262860,194148,159893
"49003","7","CA91","30","1990","Residence adjustment","Box Elder, UT ",-125051,-125604,-138594,-145272,-143660,-137926,-124337,-118734,-148733,-87183,-95441,-53890,-50354,-50044,-47746,-67248,-64665,-50702,-80085,-20485,40545,166199,238031
"49005","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Cache, UT ",112618,117961,125293,130840,139191,144120,149726,160560,171863,170863,181993,186784,188664,195996,206740,226703,248514,267608,281837,260398,244435,231920,226622
"49005","7","CA91","20","1990","Outflows of earnings","Cache, UT ",40896,46058,51578,57792,65299,72202,80132,86961,96230,106275,113953,117415,123048,133386,145553,150565,160987,173310,185632,178161,192718,200887,202004
"49005","7","CA91","30","1990","Residence adjustment","Cache, UT ",71722,71903,73715,73048,73892,71918,69594,73599,75633,64588,68040,69369,65616,62610,61187,76138,87527,94298,96205,82237,51717,31033,24618
"49007","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Carbon, UT ",25694,25965,29777,29721,32368,33637,35143,38299,39847,41423,43645,47322,45316,44904,49499,54809,61975,60323,59677,60149,62298,63194,61322
"49007","7","CA91","20","1990","Outflows of earnings","Carbon, UT ",26473,26744,30092,29042,30282,32491,36640,41222,44024,46103,47817,43990,44171,44199,47058,51863,62830,63497,79428,68187,68892,76046,70668
"49007","7","CA91","30","1990","Residence adjustment","Carbon, UT ",-779,-779,-315,679,2086,1146,-1497,-2923,-4177,-4680,-4172,3332,1145,705,2441,2946,-855,-3174,-19751,-8038,-6594,-12852,-9346
"49009","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Daggett, UT ",42,231,447,667,922,1165,1408,1731,2069,2377,2768,3203,3076,3328,3553,3995,4724,5097,5744,5060,5195,5741,6107
"49009","7","CA91","20","1990","Outflows of earnings","Daggett, UT ",1697,2871,3031,3151,5590,5149,4758,4907,5336,7321,8053,8169,8176,8618,9357,10956,10751,12819,11157,9621,10161,10631,11517
"49009","7","CA91","30","1990","Residence adjustment","Daggett, UT ",-1655,-2640,-2584,-2484,-4668,-3984,-3350,-3176,-3267,-4944,-5285,-4966,-5100,-5290,-5804,-6961,-6027,-7722,-5413,-4561,-4966,-4890,-5410
