"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"55001","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adams, WI ",53301,58049,64920,71035,78018,83834,89926,97232,106998,116689,127132,130431,134863,140382,148645,153912,158422,164977,169413,162904,164307,174127,180871
"55001","3","CA91","20","1990","Outflows of earnings","Adams, WI ",18339,18756,20654,21696,22721,23045,23635,24345,24899,26241,27502,33261,35613,36908,38964,40210,40819,42692,43884,42334,42375,44115,42862
"55001","3","CA91","30","1990","Residence adjustment","Adams, WI ",34962,39293,44266,49339,55297,60789,66291,72887,82099,90448,99630,97170,99250,103474,109681,113702,117603,122285,125529,120570,121932,130012,138009
"55003","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Ashland, WI ",14184,15230,17366,18335,19888,21199,21944,23620,24976,25925,27540,29425,31374,32532,34269,35092,34949,37318,37105,35004,35855,37840,38916
"55003","3","CA91","20","1990","Outflows of earnings","Ashland, WI ",44980,48959,50159,54733,58835,62254,65501,68922,71966,74917,79544,85252,86975,91239,97826,102330,108553,116220,118068,118935,107057,111822,117896
"55003","3","CA91","30","1990","Residence adjustment","Ashland, WI ",-30796,-33729,-32793,-36398,-38947,-41055,-43557,-45302,-46990,-48992,-52004,-55827,-55601,-58707,-63557,-67238,-73604,-78902,-80963,-83931,-71202,-73982,-78980
"55005","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Barron, WI ",29790,33461,39117,43749,49974,55968,62539,69927,78768,88484,98720,106112,109002,113638,121467,124879,128084,135437,137904,132597,135238,143060,147207
"55005","3","CA91","20","1990","Outflows of earnings","Barron, WI ",40635,44724,49807,53029,59191,63693,68284,73042,81018,87026,93907,109883,106362,111602,117666,120617,123402,126532,128227,126788,128746,133548,138194
"55005","3","CA91","30","1990","Residence adjustment","Barron, WI ",-10845,-11263,-10690,-9280,-9217,-7725,-5745,-3115,-2250,1458,4813,-3771,2640,2036,3801,4262,4682,8905,9677,5809,6492,9512,9013
"55007","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bayfield, WI ",47182,51518,53120,57783,62070,65420,68805,72450,76591,80391,85576,92624,94997,99161,105525,109982,115117,125449,124187,124507,117792,122566,128208
"55007","3","CA91","20","1990","Outflows of earnings","Bayfield, WI ",7673,7706,8588,9385,10414,10810,11357,11853,12388,13194,14444,14640,15799,16357,17299,17430,17921,18319,18668,18658,19243,20168,20504
"55007","3","CA91","30","1990","Residence adjustment","Bayfield, WI ",39509,43812,44532,48398,51656,54610,57448,60597,64203,67197,71132,77984,79198,82804,88226,92552,97196,107130,105519,105849,98549,102398,107704
"55009","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brown, WI ",195714,218371,245118,255978,272321,284746,304305,317726,352657,371087,393231,462134,471723,484845,520594,530628,526585,542674,561269,545124,518335,552679,556807
"55009","3","CA91","20","1990","Outflows of earnings","Brown, WI ",378276,401652,454563,522576,598715,679658,746160,863359,918890,1052401,1184275,1208722,1259372,1318740,1408137,1463405,1556212,1641420,1672457,1625994,1720640,1810667,1874594
"55009","3","CA91","30","1990","Residence adjustment","Brown, WI ",-182562,-183281,-209445,-266598,-326394,-394912,-441855,-545633,-566233,-681314,-791044,-746588,-787649,-833895,-887543,-932777,-1029627,-1098746,-1111188,-1080870,-1202305,-1257988,-1317787
"55011","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Buffalo, WI ",45791,48180,53770,58777,64050,68856,73727,79277,87239,95020,102273,106000,111433,114457,122852,127532,131886,138087,144028,137746,141935,152214,160700
"55011","3","CA91","20","1990","Outflows of earnings","Buffalo, WI ",25076,27468,29760,37069,38735,41679,43889,45185,47632,48544,54443,64654,65840,71835,79413,75381,77457,85959,78030,77930,63598,59851,57221
"55011","3","CA91","30","1990","Residence adjustment","Buffalo, WI ",20715,20712,24010,21708,25315,27177,29838,34092,39607,46476,47830,41346,45593,42622,43439,52151,54429,52128,65998,59816,78337,92363,103479
