"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"53001","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adams, WA ",14540,15765,17009,18561,20037,21508,22956,25151,26418,27726,28703,32729,32882,34571,35785,38588,39798,42461,48230,48917,49255,50674,54745
"53001","8","CA91","20","1990","Outflows of earnings","Adams, WA ",17507,19089,20414,22563,24115,26666,30046,31490,34960,37588,39497,39596,40218,42425,43044,46466,47365,48476,52692,53239,54798,57499,61327
"53001","8","CA91","30","1990","Residence adjustment","Adams, WA ",-2967,-3324,-3405,-4002,-4078,-5158,-7090,-6339,-8542,-9862,-10794,-6867,-7336,-7854,-7259,-7878,-7567,-6015,-4462,-4322,-5543,-6825,-6582
"53003","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Asotin, WA ",88659,93514,104091,110220,118498,122640,129903,137412,142732,152286,162488,167790,170125,175475,179025,181255,191416,200916,204603,197855,201529,208484,207229
"53003","8","CA91","20","1990","Outflows of earnings","Asotin, WA ",15848,18988,21467,24848,27698,29155,31811,36182,40327,43977,47192,50411,51372,54221,56877,61136,65415,68630,70766,68531,71375,73065,78256
"53003","8","CA91","30","1990","Residence adjustment","Asotin, WA ",72811,74526,82624,85372,90800,93485,98092,101230,102405,108309,115296,117379,118753,121254,122148,120119,126001,132286,133837,129324,130154,135419,128973
"53005","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Benton, WA ",213204,229028,252677,277692,303967,325653,343030,372374,408833,446404,468826,479026,496979,516524,541310,549583,573179,602447,636042,610077,598493,602117,619407
"53005","8","CA91","20","1990","Outflows of earnings","Benton, WA ",218824,212924,240400,261981,296446,295358,297581,308783,315978,337629,364620,383860,405745,433503,462161,508831,520748,594907,642789,710329,794396,857764,825162
"53005","8","CA91","30","1990","Residence adjustment","Benton, WA ",-5620,16104,12277,15711,7521,30295,45449,63591,92855,108775,104206,95166,91234,83021,79149,40752,52431,7540,-6747,-100252,-195903,-255647,-205755
"53007","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Chelan, WA ",51250,56797,60555,63678,69627,78622,84690,91507,99082,106684,112165,111934,116427,122103,131155,144265,148185,164986,174886,171702,175271,178323,184667
"53007","8","CA91","20","1990","Outflows of earnings","Chelan, WA ",153563,163948,177087,187202,198276,195793,204941,218219,222433,231950,242642,253145,259168,267179,281058,297157,320463,336458,354972,351099,344932,366493,378886
"53007","8","CA91","30","1990","Residence adjustment","Chelan, WA ",-102313,-107151,-116532,-123524,-128649,-117171,-120251,-126712,-123351,-125266,-130477,-141211,-142741,-145076,-149903,-152892,-172278,-171472,-180086,-179397,-169661,-188170,-194219
"53009","8","CA91","10","1990","Inflows of earnings (thousands of dollars)","Clallam, WA ",19363,21452,23491,25103,26567,28682,31257,34436,37870,42686,46754,51629,52224,54192,58219,60537,62931,67874,70096,67279,67668,69707,71899
"53009","8","CA91","20","1990","Outflows of earnings","Clallam, WA ",19599,19994,20269,19885,19734,20379,20877,21907,22012,22253,22793,24518,25301,27170,29765,31724,33488,35409,36030,35629,36137,36965,37419
