"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"51001","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Accomack, VA ",35022,37989,41189,45072,48984,52462,55693,61606,67491,77434,87123,90041,93903,99356,105732,108620,114601,118256,119637,118594,115026,116166,116752
"51001","5","CA91","20","1990","Outflows of earnings","Accomack, VA ",48593,51116,52878,53927,57602,56077,55520,55637,60394,63600,66653,72615,78472,83137,88007,91442,92639,95496,99293,105466,107949,104080,108020
"51001","5","CA91","30","1990","Residence adjustment","Accomack, VA ",-13571,-13127,-11689,-8855,-8618,-3615,173,5969,7097,13834,20470,17426,15431,16219,17725,17178,21962,22760,20344,13128,7077,12086,8732
"51007","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Amelia, VA ",55932,57477,63767,67956,74398,81804,88836,97093,104294,115010,123894,134829,138677,141108,156323,167285,168276,182978,180985,175465,179816,189929,191599
"51007","5","CA91","20","1990","Outflows of earnings","Amelia, VA ",12165,12617,12590,13792,14867,14951,15885,17337,19750,20892,22720,22690,21989,23854,24941,28341,33114,33194,30576,27628,27319,26339,29691
"51007","5","CA91","30","1990","Residence adjustment","Amelia, VA ",43767,44860,51177,54164,59531,66853,72951,79756,84544,94118,101174,112139,116688,117254,131382,138944,135162,149784,150409,147837,152497,163590,161908
"51009","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Amherst, VA ",165891,170429,181551,194094,206332,214571,225886,236958,243819,265886,280286,281834,274405,282212,295611,306293,323789,338987,345583,338169,341538,349109,353793
"51009","5","CA91","20","1990","Outflows of earnings","Amherst, VA ",104673,99846,99399,108780,108975,105953,104222,106801,114284,116102,120589,130652,137927,142364,149168,156346,158888,167244,171321,169259,163666,164717,171638
"51009","5","CA91","30","1990","Residence adjustment","Amherst, VA ",61218,70583,82152,85314,97357,108618,121664,130157,129535,149784,159697,151182,136478,139848,146443,149947,164901,171743,174262,168910,177872,184392,182155
"51011","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Appomattox, VA ",63581,63957,68739,75919,83607,87840,93786,99940,107015,120071,134505,135503,134896,139269,144107,150957,158106,166736,173717,172448,173540,181695,188642
"51011","5","CA91","20","1990","Outflows of earnings","Appomattox, VA ",26242,28442,29498,28731,29559,30661,31007,33737,34390,34029,32635,32748,32217,33861,35696,35684,36036,36238,37771,34893,33050,31649,28788
"51011","5","CA91","30","1990","Residence adjustment","Appomattox, VA ",37339,35515,39241,47188,54048,57179,62779,66203,72625,86042,101870,102755,102679,105408,108411,115273,122070,130498,135946,137555,140490,150046,159854
