"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"16001","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Ada, ID ",126038,149124,168846,189198,215552,245991,273929,302287,331018,374894,425277,450094,445672,456466,496483,540407,610406,636718,624370,582459,598246,620865,649408
"16001","7","CA91","20","1990","Outflows of earnings","Ada, ID ",227718,271595,316588,374112,437333,493422,524746,572104,638137,732919,872911,905631,923527,949311,1025615,1116903,1258521,1330903,1285898,1196252,1207542,1245707,1272494
"16001","7","CA91","30","1990","Residence adjustment","Ada, ID ",-101680,-122471,-147742,-184914,-221781,-247431,-250817,-269817,-307119,-358025,-447634,-455537,-477855,-492845,-529132,-576496,-648115,-694185,-661528,-613793,-609296,-624842,-623086
"16003","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adams, ID ",3225,3489,3979,4392,5045,5336,5725,5905,6274,6728,7480,7844,8064,8566,9921,11230,13024,13686,12589,11048,10959,11375,13279
"16003","7","CA91","20","1990","Outflows of earnings","Adams, ID ",3811,3935,4216,4354,4522,4025,3991,4084,4006,4170,4744,4964,4896,5109,5162,6040,6815,7017,6167,5728,6032,6672,7199
"16003","7","CA91","30","1990","Residence adjustment","Adams, ID ",-586,-446,-237,38,523,1311,1734,1821,2268,2558,2736,2880,3168,3457,4759,5190,6209,6669,6422,5320,4927,4703,6080
"16005","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bannock, ID ",129500,148850,154585,163641,170740,176985,176351,186556,195531,191623,206382,231712,219192,215007,213184,212712,236206,254178,255933,256376,253465,258313,249692
"16005","7","CA91","20","1990","Outflows of earnings","Bannock, ID ",37823,38173,44817,51178,57030,63008,69914,74385,80336,93355,101730,120185,121966,129294,145472,159505,162279,165873,171012,161998,169958,181322,182300
"16005","7","CA91","30","1990","Residence adjustment","Bannock, ID ",91677,110677,109768,112463,113710,113977,106437,112171,115195,98268,104652,111527,97226,85713,67712,53207,73927,88305,84921,94378,83507,76991,67392
"16007","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bear Lake, ID ",16743,17351,19464,19365,19970,22045,22049,23665,23879,24219,24946,27828,27797,28520,30040,30722,33276,34454,36315,35259,35252,37475,41042
"16007","7","CA91","20","1990","Outflows of earnings","Bear Lake, ID ",928,1043,1234,1436,1508,1656,1806,1958,2202,2420,2598,2086,2142,2175,2276,2486,2736,3172,3587,3567,3517,3702,4227
"16007","7","CA91","30","1990","Residence adjustment","Bear Lake, ID ",15815,16308,18230,17929,18462,20389,20243,21707,21677,21799,22348,25742,25655,26345,27764,28236,30540,31282,32728,31692,31735,33773,36815
"16009","7","CA91","10","1990","Inflows of earnings (thousands of dollars)","Benewah, ID ",2935,3491,4374,5268,6362,7237,8454,9824,11280,12593,14273,14488,14254,15088,16899,18286,20394,22807,24147,22364,23150,25356,26082
"16009","7","CA91","20","1990","Outflows of earnings","Benewah, ID ",9154,9779,10986,12294,13598,14254,15489,16528,16684,17411,18030,20771,20979,21087,23524,24564,25602,26811,25586,23330,24543,24859,25527
