"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"46003","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Aurora, SD ",2408,2859,3533,4087,4664,5289,5854,6560,7475,8432,9488,11461,12006,12576,13456,14206,14341,15370,16078,16067,17018,18230,19198
"46003","4","CA91","20","1990","Outflows of earnings","Aurora, SD ",1902,2135,2354,2568,2901,3066,3025,3267,3871,4228,4420,4285,3911,3539,3778,3702,3923,4886,5782,5966,6285,7474,7771
"46003","4","CA91","30","1990","Residence adjustment","Aurora, SD ",506,724,1179,1519,1763,2223,2829,3293,3604,4204,5068,7176,8095,9037,9678,10504,10418,10484,10296,10101,10733,10756,11427
"46005","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Beadle, SD ",3146,3722,4406,5171,5977,6746,7513,8529,9720,11045,13350,16828,16812,17891,20641,21217,22212,24626,26439,26774,29408,31350,32257
"46005","4","CA91","20","1990","Outflows of earnings","Beadle, SD ",8135,8564,9334,10075,11126,11774,12445,12723,12500,13324,14130,14683,14778,15099,15338,16083,17061,18474,20768,20483,21379,23006,24201
"46005","4","CA91","30","1990","Residence adjustment","Beadle, SD ",-4989,-4842,-4928,-4904,-5149,-5028,-4932,-4194,-2780,-2279,-780,2145,2034,2792,5303,5134,5151,6152,5671,6291,8029,8344,8056
"46007","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bennett, SD ",1196,1509,1902,2481,3069,3568,4165,4990,5804,6643,7407,9100,9820,10642,11278,11493,11851,12326,12957,13482,14196,14555,14657
"46007","4","CA91","20","1990","Outflows of earnings","Bennett, SD ",618,688,747,765,752,820,807,835,862,915,947,1275,1262,1368,1478,1518,1501,1541,1574,1636,1808,1829,1931
"46007","4","CA91","30","1990","Residence adjustment","Bennett, SD ",578,821,1155,1716,2317,2748,3358,4155,4942,5728,6460,7825,8558,9274,9800,9975,10350,10785,11383,11846,12388,12726,12726
"46009","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bon Homme, SD ",5673,6675,7827,8885,10229,11375,12265,13580,15174,16816,18476,20515,21026,21572,23131,24554,25769,27346,28636,27136,28508,30706,32568
"46009","4","CA91","20","1990","Outflows of earnings","Bon Homme, SD ",4887,5334,5769,6229,6684,7113,7305,7890,8509,9085,9543,9850,10392,10694,11243,11511,10753,10187,10771,10951,11384,11632,11886
"46009","4","CA91","30","1990","Residence adjustment","Bon Homme, SD ",786,1341,2058,2656,3545,4262,4960,5690,6665,7731,8933,10665,10634,10878,11888,13043,15016,17159,17865,16185,17124,19074,20682
"46011","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brookings, SD ",13043,14516,16226,17980,19993,22020,24238,26558,29604,32791,36157,38604,40611,42239,44888,47191,49566,52714,55515,53813,55132,59092,63203
"46011","4","CA91","20","1990","Outflows of earnings","Brookings, SD ",15503,18761,22066,25176,28456,31636,34586,38664,43118,49590,57334,60484,59809,64569,71679,76457,84726,99588,103404,95227,96537,107402,110223
"46011","4","CA91","30","1990","Residence adjustment","Brookings, SD ",-2460,-4245,-5840,-7196,-8463,-9616,-10348,-12106,-13514,-16799,-21177,-21880,-19198,-22330,-26791,-29266,-35160,-46874,-47889,-41414,-41405,-48310,-47020
"46013","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brown, SD ",10432,10687,11247,11700,12359,12467,12392,12352,12522,12090,12002,11731,11911,12126,13589,14349,15262,16550,17901,16786,17690,18938,20124
"46013","4","CA91","20","1990","Outflows of earnings","Brown, SD ",14032,15745,17626,20242,21895,24085,26029,27940,30348,33755,36748,40988,41556,43703,45763,48622,51175,53737,57112,57663,60207,64627,67548
"46013","4","CA91","30","1990","Residence adjustment","Brown, SD ",-3600,-5058,-6379,-8542,-9536,-11618,-13637,-15588,-17826,-21665,-24746,-29257,-29645,-31577,-32174,-34273,-35913,-37187,-39211,-40877,-42517,-45689,-47424
"46015","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brule, SD ",5935,6761,7157,8103,8364,8950,9202,9614,10408,11468,12439,12089,12731,13306,13731,14284,14377,14881,15821,16323,17423,18779,19243
"46015","4","CA91","20","1990","Outflows of earnings","Brule, SD ",3996,4201,4519,4778,5130,5511,5765,5887,6060,6208,6464,6689,6981,7327,7845,7933,7990,8450,8981,9471,9981,10340,10345
"46015","4","CA91","30","1990","Residence adjustment","Brule, SD ",1939,2560,2638,3325,3234,3439,3437,3727,4348,5260,5975,5400,5750,5979,5886,6351,6387,6431,6840,6852,7442,8439,8898
"46017","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Buffalo, SD ",1028,1040,1142,1130,1179,1200,1217,1224,1258,1272,1427,1830,1829,1926,2052,2129,2155,2118,2205,2265,2387,2508,2456
"46017","4","CA91","20","1990","Outflows of earnings","Buffalo, SD ",3956,4703,4805,5782,5671,6090,6162,6376,7133,8026,8746,8895,9531,9959,10318,10441,10316,10057,10472,11298,11954,13070,13523
"46017","4","CA91","30","1990","Residence adjustment","Buffalo, SD ",-2928,-3663,-3663,-4652,-4492,-4890,-4945,-5152,-5875,-6754,-7319,-7065,-7702,-8033,-8266,-8312,-8161,-7939,-8267,-9033,-9567,-10562,-11067
"46019","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Butte, SD ",12006,14164,15934,17495,19206,22165,23371,24159,24044,25482,27949,30377,31821,32757,35438,38715,41156,44109,46042,44115,45844,47221,48812
"46019","4","CA91","20","1990","Outflows of earnings","Butte, SD ",6319,6467,6664,6917,7352,7487,6852,6454,6393,6205,6562,6582,7055,7247,7691,8125,8777,9386,10027,9932,10607,11005,11598
"46019","4","CA91","30","1990","Residence adjustment","Butte, SD ",5687,7697,9270,10578,11854,14678,16519,17705,17651,19277,21387,23795,24766,25510,27747,30590,32379,34723,36015,34183,35237,36216,37214
