"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"38001","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adams, ND ",1663,1703,1721,1825,1940,1814,1873,2143,2170,2207,2345,2565,2700,2787,2846,2958,3094,3157,3562,3614,3941,4297,4738
"38001","4","CA91","20","1990","Outflows of earnings","Adams, ND ",1873,1930,1954,2009,1934,1976,2071,2053,2074,2109,2116,2031,2161,2266,2429,2555,2661,2907,3037,3044,3186,3358,3588
"38001","4","CA91","30","1990","Residence adjustment","Adams, ND ",-210,-227,-233,-184,6,-162,-198,90,96,98,229,534,539,521,417,403,433,250,525,570,755,939,1150
"38003","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Barnes, ND ",7153,7949,9053,10109,11394,12507,13879,15629,17399,19231,21358,22854,23306,24288,26324,27643,29005,30697,33727,32698,33935,35708,38329
"38003","4","CA91","20","1990","Outflows of earnings","Barnes, ND ",5086,5544,5967,6429,6948,7629,8258,9217,9934,10410,10890,11539,12259,12897,14059,14489,14667,16316,19248,19134,19588,20642,22287
"38003","4","CA91","30","1990","Residence adjustment","Barnes, ND ",2067,2405,3086,3680,4446,4878,5621,6412,7465,8821,10468,11315,11047,11391,12265,13154,14338,14381,14479,13564,14347,15066,16042
"38005","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Benson, ND ",5494,5870,6672,7331,7790,8200,8913,9663,10310,11017,11641,12912,12897,13182,13921,14656,14725,15488,16117,16279,17783,19238,20487
"38005","4","CA91","20","1990","Outflows of earnings","Benson, ND ",8791,9447,9456,8880,11486,11616,12144,13958,13726,15040,16261,13821,14748,15448,17366,17788,18256,18827,19873,21313,24460,27583,27572
"38005","4","CA91","30","1990","Residence adjustment","Benson, ND ",-3297,-3577,-2784,-1549,-3696,-3416,-3231,-4295,-3416,-4023,-4620,-909,-1851,-2266,-3445,-3132,-3531,-3339,-3756,-5034,-6677,-8345,-7085
"38007","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Billings, ND ",1422,1560,1671,1781,1887,2042,2179,2392,2614,2691,2890,3300,3315,3484,3608,4012,4590,5107,6829,7898,12393,21973,34718
"38007","4","CA91","20","1990","Outflows of earnings","Billings, ND ",6696,5313,5034,4040,3134,3758,4034,3334,3723,4130,4417,4239,3863,4422,4993,5211,5279,7612,8898,11062,14485,13989,18619
"38007","4","CA91","30","1990","Residence adjustment","Billings, ND ",-5274,-3753,-3363,-2259,-1247,-1716,-1855,-942,-1109,-1439,-1527,-939,-548,-938,-1385,-1199,-689,-2505,-2069,-3164,-2092,7984,16099
"38009","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bottineau, ND ",4531,5419,6320,7340,8364,9682,11022,12284,13536,14873,16620,18421,19291,20144,21563,21775,22224,22935,24098,24769,27016,29811,32815
"38009","4","CA91","20","1990","Outflows of earnings","Bottineau, ND ",2297,2502,2614,2649,2856,3041,3194,3406,3597,3715,4040,4740,5044,5137,6365,6496,6525,7425,9362,9864,11821,15448,15799
"38009","4","CA91","30","1990","Residence adjustment","Bottineau, ND ",2234,2917,3706,4691,5508,6641,7828,8878,9939,11158,12580,13681,14247,15007,15198,15279,15699,15510,14736,14905,15195,14363,17016
"38011","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bowman, ND ",906,1233,1112,1156,1291,1364,1593,1897,2107,2121,2330,2212,2325,2467,2689,3435,3836,6273,8391,4734,5341,6162,7863
"38011","4","CA91","20","1990","Outflows of earnings","Bowman, ND ",1897,1998,2033,2170,2218,2144,2162,2615,2711,2712,2986,3145,3281,3896,3875,3974,4665,5426,5770,5869,6456,8228,10000
"38011","4","CA91","30","1990","Residence adjustment","Bowman, ND ",-991,-765,-921,-1014,-927,-780,-569,-718,-604,-591,-656,-933,-956,-1429,-1186,-539,-829,847,2621,-1135,-1115,-2066,-2137
"38013","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Burke, ND ",2492,2633,2715,2852,2961,3209,3448,3542,3600,3627,3886,3894,3951,4243,4555,5041,5810,6444,7829,7902,9924,15890,24088
"38013","4","CA91","20","1990","Outflows of earnings","Burke, ND ",1653,1718,1907,2080,2266,2431,2678,2981,3131,3310,3526,3536,3608,4054,4624,5007,5316,5887,7143,7320,8094,11748,14833
"38013","4","CA91","30","1990","Residence adjustment","Burke, ND ",839,915,808,772,695,778,770,561,469,317,360,358,343,189,-69,34,494,557,686,582,1830,4142,9255
"38015","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Burleigh, ND ",69486,69853,75918,81714,91037,101315,103354,105411,114928,124259,129204,145442,145021,153831,162682,167842,184598,193361,204406,220091,234132,249026,258018
"38015","4","CA91","20","1990","Outflows of earnings","Burleigh, ND ",85528,95691,107010,116207,123495,131468,143126,156905,168658,182811,197828,212885,223188,241737,261816,277368,297603,321295,338886,342454,361457,400140,460639
"38015","4","CA91","30","1990","Residence adjustment","Burleigh, ND ",-16042,-25838,-31092,-34493,-32458,-30153,-39772,-51494,-53730,-58552,-68624,-67443,-78167,-87906,-99134,-109526,-113005,-127934,-134480,-122363,-127325,-151114,-202621
