"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"48001","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Anderson, TX ",39795,43370,46370,48695,51761,55718,59867,65690,72088,78211,85477,88497,87760,90868,96083,99092,105494,112164,117263,114125,118090,124471,130738
"48001","6","CA91","20","1990","Outflows of earnings","Anderson, TX ",55833,59598,63405,67041,72624,77775,81449,87710,96841,100001,105344,114968,115243,117473,117868,120568,131642,145222,152717,147455,156133,172630,185264
"48001","6","CA91","30","1990","Residence adjustment","Anderson, TX ",-16038,-16228,-17035,-18346,-20863,-22057,-21582,-22020,-24753,-21790,-19867,-26471,-27483,-26605,-21785,-21476,-26148,-33058,-35454,-33330,-38043,-48159,-54526
"48003","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Andrews, TX ",16338,17979,18419,19627,20491,21655,23061,26191,28455,27291,29982,37573,36448,37335,40529,45076,54405,63074,73574,64470,71085,87198,102650
"48003","6","CA91","20","1990","Outflows of earnings","Andrews, TX ",19543,18670,17349,17193,17457,17285,17647,18346,17747,16613,19411,21457,20816,22444,24071,27041,31699,35896,43584,38571,44775,54494,66022
"48003","6","CA91","30","1990","Residence adjustment","Andrews, TX ",-3205,-691,1070,2434,3034,4370,5414,7845,10708,10678,10571,16116,15632,14891,16458,18035,22706,27178,29990,25899,26310,32704,36628
"48005","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Angelina, TX ",45163,48024,51202,53870,57653,62240,65631,70204,74877,79658,85606,95168,96714,97490,101829,107088,113563,121318,125362,123152,129847,138067,142833
"48005","6","CA91","20","1990","Outflows of earnings","Angelina, TX ",82733,89262,93466,98648,105752,112178,118049,125328,132654,137524,148498,154786,156018,162110,172423,179742,190005,198248,204009,196020,200491,207923,222443
"48005","6","CA91","30","1990","Residence adjustment","Angelina, TX ",-37570,-41238,-42264,-44778,-48099,-49938,-52418,-55124,-57777,-57866,-62892,-59618,-59304,-64620,-70594,-72654,-76442,-76930,-78647,-72868,-70644,-69856,-79610
"48007","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Aransas, TX ",66557,70931,74578,82201,85558,95367,108217,114505,130849,129530,145378,152890,161133,168356,173732,184864,201059,217035,234599,220849,239696,249095,266613
"48007","6","CA91","20","1990","Outflows of earnings","Aransas, TX ",20182,21570,22641,22694,24327,24364,24536,27328,27060,28325,28232,30217,29358,31586,33700,37445,43508,44708,46384,45880,45639,48855,54410
"48007","6","CA91","30","1990","Residence adjustment","Aransas, TX ",46375,49361,51937,59507,61231,71003,83681,87177,103789,101205,117146,122673,131775,136770,140032,147419,157551,172327,188215,174969,194057,200240,212203
"48009","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Archer, TX ",42569,45484,47845,49206,53525,58744,64925,78509,81693,90288,99116,106345,109005,111654,115721,124349,136445,147265,154782,155625,165008,171559,172833
"48009","6","CA91","20","1990","Outflows of earnings","Archer, TX ",8014,8115,8821,10653,11430,13117,14317,11231,13003,13183,14612,15563,16061,17583,19864,26960,29616,29341,31487,25425,24942,24683,25874
"48009","6","CA91","30","1990","Residence adjustment","Archer, TX ",34555,37369,39024,38553,42095,45627,50608,67278,68690,77105,84504,90782,92944,94071,95857,97389,106829,117924,123295,130200,140066,146876,146959
"48011","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Armstrong, TX ",6825,7811,8892,10720,11574,14128,15493,16626,18282,19770,21269,24215,25370,26533,28142,29749,32454,34066,36295,35257,35655,34576,36042
"48011","6","CA91","20","1990","Outflows of earnings","Armstrong, TX ",2688,3027,3303,3391,3913,4250,4625,5128,5698,7339,8930,12624,13427,11496,11124,10849,12083,16743,13667,12015,11957,12418,13732
"48011","6","CA91","30","1990","Residence adjustment","Armstrong, TX ",4137,4784,5589,7329,7661,9878,10868,11498,12584,12431,12339,11591,11943,15037,17018,18900,20371,17323,22628,23242,23698,22158,22310
"48013","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Atascosa, TX ",114704,111293,121154,131854,143826,158897,175598,194201,203740,224975,255822,268484,275838,289405,309963,340300,376977,402631,411401,407966,422191,474801,467497
"48013","6","CA91","20","1990","Outflows of earnings","Atascosa, TX ",21138,27156,28740,31696,34170,35553,36912,42461,48950,52699,55629,61822,62595,62212,62942,63058,68379,71715,79136,77445,81582,81777,100384
"48013","6","CA91","30","1990","Residence adjustment","Atascosa, TX ",93566,84137,92414,100158,109656,123344,138686,151740,154790,172276,200193,206662,213243,227193,247021,277242,308598,330916,332265,330521,340609,393024,367113
"48015","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Austin, TX ",93123,110832,124755,125066,131746,136748,151018,173184,181542,187868,207280,217454,219758,226902,238898,258031,284615,301417,317150,298896,298579,331571,350229
"48015","6","CA91","20","1990","Outflows of earnings","Austin, TX ",53162,47973,47085,60156,64991,77057,80263,81775,97218,106970,117892,145763,146331,150550,161340,176803,216477,271211,301077,316528,313956,279918,280932
"48015","6","CA91","30","1990","Residence adjustment","Austin, TX ",39961,62859,77670,64910,66755,59691,70755,91409,84324,80898,89388,71691,73427,76352,77558,81228,68138,30206,16073,-17632,-15377,51653,69297
"48017","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bailey, TX ",11078,10927,10658,11206,11583,12011,12433,12845,13145,13147,13497,13868,13955,14630,15305,16681,16880,17775,18099,18132,18928,20241,20473
"48017","6","CA91","20","1990","Outflows of earnings","Bailey, TX ",6688,6708,6702,6984,7472,7893,8311,8783,9391,10884,12387,12537,12695,13263,14524,15177,15988,17306,18494,18372,19290,20356,19859
"48017","6","CA91","30","1990","Residence adjustment","Bailey, TX ",4390,4219,3956,4222,4111,4118,4122,4062,3754,2263,1110,1331,1260,1367,781,1504,892,469,-395,-240,-362,-115,614
"48019","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bandera, TX ",63003,71021,77661,87816,100341,115333,132104,148892,168405,185069,209808,225031,230560,238889,247286,271798,292678,302829,320541,307270,299668,307562,313213
"48019","6","CA91","20","1990","Outflows of earnings","Bandera, TX ",5170,5659,6151,6484,6810,7185,7408,7732,8340,9400,10351,10376,10991,11365,12479,28658,29823,33499,33361,35575,37560,40714,42988
"48019","6","CA91","30","1990","Residence adjustment","Bandera, TX ",57833,65362,71510,81332,93531,108148,124696,141160,160065,175669,199457,214655,219569,227524,234807,243140,262855,269330,287180,271695,262108,266848,270225
"48021","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bastrop, TX ",214456,234316,252229,280566,306148,352003,388853,442854,507399,597182,679126,737310,718090,737136,800529,819725,873955,918187,914009,857045,837782,817249,863047
"48021","6","CA91","20","1990","Outflows of earnings","Bastrop, TX ",21466,24628,29419,34498,38926,43722,49215,55081,64718,72008,82817,93128,97509,102458,110047,117469,132741,147828,167230,169810,185079,201585,203910
"48021","6","CA91","30","1990","Residence adjustment","Bastrop, TX ",192990,209688,222810,246068,267222,308281,339638,387773,442681,525174,596309,644182,620581,634678,690482,702256,741214,770359,746779,687235,652703,615664,659137
"48023","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Baylor, TX ",2852,3171,3558,3942,4291,4677,5034,5434,5823,6459,6861,7018,7061,7755,7953,8231,9053,9439,9940,9649,9838,10344,10503
"48023","6","CA91","20","1990","Outflows of earnings","Baylor, TX ",2310,2109,2181,2154,2116,2183,2144,2134,2138,2042,1901,2278,2234,2434,2601,2539,2616,2807,3032,3073,3404,3732,3931
"48023","6","CA91","30","1990","Residence adjustment","Baylor, TX ",542,1062,1377,1788,2175,2494,2890,3300,3685,4417,4960,4740,4827,5321,5352,5692,6437,6632,6908,6576,6434,6612,6572
"48025","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bee, TX ",28342,31571,34520,38236,40595,43641,49151,54441,59640,63288,69867,81522,82846,86750,89474,94613,105692,112089,117021,113101,116634,127614,140553
"48025","6","CA91","20","1990","Outflows of earnings","Bee, TX ",20451,22046,22079,21532,24971,28651,31073,32833,36614,38941,41080,45880,46534,47729,48673,50703,54142,55463,57604,57994,64699,68030,72461
"48025","6","CA91","30","1990","Residence adjustment","Bee, TX ",7891,9525,12441,16704,15624,14990,18078,21608,23026,24347,28787,35642,36312,39021,40801,43910,51550,56626,59417,55107,51935,59584,68092
"48027","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bell, TX ",161564,161467,176925,186198,193581,203318,224648,244297,291096,340036,372854,424486,430279,456543,479239,520530,559858,609791,631760,660788,680583,710611,740734
"48027","6","CA91","20","1990","Outflows of earnings","Bell, TX ",597786,561232,678560,773339,865236,907687,947752,982960,965964,1006631,1062362,1027995,1106165,1220980,1298221,1476607,1676730,1842853,2019186,2034501,2006233,2071498,2021024
"48027","6","CA91","30","1990","Residence adjustment","Bell, TX ",-436222,-399765,-501635,-587141,-671655,-704369,-723104,-738663,-674868,-666595,-689508,-603509,-675886,-764437,-818982,-956077,-1116872,-1233062,-1387426,-1373713,-1325650,-1360887,-1280290
"48029","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bexar, TX ",285107,319701,358674,393331,427063,475822,518579,573485,675442,767059,853943,941071,956093,983366,1035594,1103874,1170005,1210107,1248219,1170476,1153617,1168756,1231233
"48029","6","CA91","20","1990","Outflows of earnings","Bexar, TX ",1244542,1340706,1488613,1646315,1813431,2002495,2193641,2459816,2641009,2865922,3182436,3279282,3406635,3599854,3865652,4223344,4710140,5170256,5385091,5593170,6014378,6571636,6898212
"48029","6","CA91","30","1990","Residence adjustment","Bexar, TX ",-959435,-1021005,-1129939,-1252984,-1386368,-1526673,-1675062,-1886331,-1965567,-2098863,-2328493,-2338211,-2450542,-2616488,-2830058,-3119470,-3540135,-3960149,-4136872,-4422694,-4860761,-5402880,-5666979
"48031","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Blanco, TX ",18601,21278,24351,27730,31103,35388,39597,44909,52795,59711,68143,72185,73219,75432,79539,85417,94252,101720,104482,101623,105881,114160,121973
"48031","6","CA91","20","1990","Outflows of earnings","Blanco, TX ",12718,11853,11908,12903,13252,14936,15422,16756,17748,20081,21643,24553,25726,27269,30404,32331,33602,30472,31593,32483,31954,33094,34328
"48031","6","CA91","30","1990","Residence adjustment","Blanco, TX ",5883,9425,12443,14827,17851,20452,24175,28153,35047,39630,46500,47632,47493,48163,49135,53086,60650,71248,72889,69140,73927,81066,87645
"48033","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Borden, TX ",1856,2032,2098,2292,2449,2622,2795,3081,3242,3243,3613,4101,3745,3842,4104,4238,4712,5118,5797,5171,5663,6747,8461
"48033","6","CA91","20","1990","Outflows of earnings","Borden, TX ",844,874,963,829,624,593,518,473,436,490,465,483,396,489,530,572,424,446,471,469,486,517,513
"48033","6","CA91","30","1990","Residence adjustment","Borden, TX ",1012,1158,1135,1463,1825,2029,2277,2608,2806,2753,3148,3618,3349,3353,3574,3666,4288,4672,5326,4702,5177,6230,7948
"48035","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bosque, TX ",51667,55484,60077,60478,64585,70450,75224,81575,88231,88326,93893,102301,104400,108016,113735,119928,129092,141562,151505,145149,148950,157113,166978
"48035","6","CA91","20","1990","Outflows of earnings","Bosque, TX ",19071,16545,16834,17452,17265,17634,18046,18416,18343,18356,18662,17804,18068,19216,20581,22061,22583,24086,25386,24863,25373,26878,26385
"48035","6","CA91","30","1990","Residence adjustment","Bosque, TX ",32596,38939,43243,43026,47320,52816,57178,63159,69888,69970,75231,84497,86332,88800,93154,97867,106509,117476,126119,120286,123577,130235,140593
"48037","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bowie, TX ",176728,191843,203940,211261,215318,208413,209066,214767,226472,242846,262072,274410,277130,282916,292843,296059,300951,306032,305995,288554,303787,314544,332993
"48037","6","CA91","20","1990","Outflows of earnings","Bowie, TX ",194480,191651,194962,197266,205484,233334,255561,280798,279159,290413,307263,318294,332665,353240,376935,414830,450969,487398,515523,513559,516907,540693,532484
"48037","6","CA91","30","1990","Residence adjustment","Bowie, TX ",-17752,192,8978,13995,9834,-24921,-46495,-66031,-52687,-47567,-45191,-43884,-55535,-70324,-84092,-118771,-150018,-181366,-209528,-225005,-213120,-226149,-199491
"48039","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brazoria, TX ",818968,894733,1017411,1079755,1144507,1273342,1430107,1653481,1883207,2128085,2444904,2698969,2705284,2767251,2925841,3214070,3626042,4118589,4386632,4443058,4479421,4820708,5041136
"48039","6","CA91","20","1990","Outflows of earnings","Brazoria, TX ",394869,450198,435613,470395,511754,528285,543857,580729,617860,616646,666592,723493,741478,725913,748877,776538,848932,890588,955387,845880,918876,1002964,1093233
"48039","6","CA91","30","1990","Residence adjustment","Brazoria, TX ",424099,444535,581798,609360,632753,745057,886250,1072752,1265347,1511439,1778312,1975476,1963806,2041338,2176964,2437532,2777110,3228001,3431245,3597178,3560545,3817744,3947903
"48041","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brazos, TX ",80656,88051,93442,97950,103024,106423,110927,114628,119104,126372,136857,144251,143809,150713,156452,172095,187034,205284,226546,226402,239940,279965,310625
"48041","6","CA91","20","1990","Outflows of earnings","Brazos, TX ",113254,123891,138198,152972,168534,182578,196213,234148,273938,291799,326392,339699,344136,369373,391939,421871,458848,483602,500957,498200,516875,515876,536715
"48041","6","CA91","30","1990","Residence adjustment","Brazos, TX ",-32598,-35840,-44756,-55022,-65510,-76155,-85286,-119520,-154834,-165427,-189535,-195448,-200327,-218660,-235487,-249776,-271814,-278318,-274411,-271798,-276935,-235911,-226090
"48043","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brewster, TX ",3800,3881,4010,4632,4878,5138,5359,5999,6946,7874,8717,9600,9959,11078,11375,12357,12516,14160,15777,16317,17988,20309,21796
"48043","6","CA91","20","1990","Outflows of earnings","Brewster, TX ",4342,4463,4482,4757,4956,5371,5887,6824,7618,8133,9367,11163,11858,12560,14658,15148,15575,14687,15032,15697,16512,16967,17359
"48043","6","CA91","30","1990","Residence adjustment","Brewster, TX ",-542,-582,-472,-125,-78,-233,-528,-825,-672,-259,-650,-1563,-1899,-1482,-3283,-2791,-3059,-527,745,620,1476,3342,4437
"48045","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Briscoe, TX ",2544,2734,2951,3184,3409,3569,3683,3973,4273,4538,4840,5735,5569,5687,6785,7199,7280,7515,7808,7985,8346,8553,8599
"48045","6","CA91","20","1990","Outflows of earnings","Briscoe, TX ",859,870,856,932,931,978,987,1019,1180,1166,1101,1001,1005,1115,1139,1163,906,888,886,873,999,1094,1051
