"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"17001","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adams, IL ",35739,39321,43436,47878,54616,57583,61365,65583,71190,76109,80056,84716,88101,88833,92353,94914,97634,103739,107180,106095,112132,117269,123230
"17001","3","CA91","20","1990","Outflows of earnings","Adams, IL ",71796,76697,83128,88768,100027,105316,109150,117634,125855,132196,141870,149365,154611,156784,167094,176859,185779,195349,204385,198265,200739,211102,218003
"17001","3","CA91","30","1990","Residence adjustment","Adams, IL ",-36057,-37376,-39692,-40890,-45411,-47733,-47785,-52051,-54665,-56087,-61814,-64649,-66510,-67951,-74741,-81945,-88145,-91610,-97205,-92170,-88607,-93833,-94773
"17003","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Alexander, IL ",25834,26746,28123,28719,30855,32403,33028,33572,35979,38511,40044,39401,41342,42752,45225,47403,49798,51361,52249,51781,53173,54233,56165
"17003","3","CA91","20","1990","Outflows of earnings","Alexander, IL ",21167,21709,25588,25078,25925,27140,29073,30598,32172,34934,37113,38283,38051,38904,39979,41988,45469,47162,49649,49957,51289,51995,51362
"17003","3","CA91","30","1990","Residence adjustment","Alexander, IL ",4667,5037,2535,3641,4930,5263,3955,2974,3807,3577,2931,1118,3291,3848,5246,5415,4329,4199,2600,1824,1884,2238,4803
"17005","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bond, IL ",73232,79121,89832,99461,104090,103004,107125,117920,127557,146733,163123,169930,173474,177472,182351,189988,197946,195447,202754,194983,194937,193902,196842
"17005","3","CA91","20","1990","Outflows of earnings","Bond, IL ",12317,13130,13392,13858,19523,24788,26782,28959,31853,33077,35425,42256,44842,46969,49709,50549,51639,56017,56901,57342,60576,64958,70067
"17005","3","CA91","30","1990","Residence adjustment","Bond, IL ",60915,65991,76440,85603,84567,78216,80343,88961,95704,113656,127698,127674,128632,130503,132642,139439,146307,139430,145853,137641,134361,128944,126775
"17007","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Boone, IL ",207630,233304,232414,262131,296983,354756,379546,421192,452846,503837,531197,560784,572057,589873,614683,647501,681834,712469,743824,709203,721595,762515,762688
"17007","3","CA91","20","1990","Outflows of earnings","Boone, IL ",238057,197829,383870,363150,430647,272079,268251,253741,305279,334172,342654,323636,327598,317358,313669,347355,483620,499185,407784,268993,284647,330807,420534
"17007","3","CA91","30","1990","Residence adjustment","Boone, IL ",-30427,35475,-151456,-101019,-133664,82677,111295,167451,147567,169665,188543,237148,244459,272515,301014,300146,198214,213284,336040,440210,436948,431708,342154
"17009","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Brown, IL ",11785,12846,13543,14273,15278,15809,16084,17045,18438,19474,20073,21398,22301,22818,23961,24238,24958,25970,26912,26351,27465,27153,28300
"17009","3","CA91","20","1990","Outflows of earnings","Brown, IL ",10765,12888,14648,16567,19054,21236,23777,26940,30895,33372,36433,43845,48306,49908,55696,58332,61698,66664,69443,72009,76257,79883,86626
"17009","3","CA91","30","1990","Residence adjustment","Brown, IL ",1020,-42,-1105,-2294,-3776,-5427,-7693,-9895,-12457,-13898,-16360,-22447,-26005,-27090,-31735,-34094,-36740,-40694,-42531,-45658,-48792,-52730,-58326
"17011","3","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bureau, IL ",114638,124946,136599,144535,155960,163774,173838,185432,203543,214247,227965,227118,232077,234550,251698,267718,288580,286937,295857,273759,277858,290997,293639
