"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"40001","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adair, OK ",49556,49045,45466,47847,53719,55881,59925,65657,68420,70331,72215,75545,78427,82496,85832,87172,89590,87466,84775,77710,72924,66944,68743
"40001","6","CA91","20","1990","Outflows of earnings","Adair, OK ",10798,13636,18028,19107,19056,19420,18596,19171,21080,23592,26490,27535,28559,29240,31316,35388,38493,42868,44408,42837,47416,50820,50531
"40001","6","CA91","30","1990","Residence adjustment","Adair, OK ",38758,35409,27438,28740,34663,36461,41329,46486,47340,46739,45725,48010,49868,53256,54516,51784,51097,44598,40367,34873,25508,16124,18212
"40003","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Alfalfa, OK ",7348,7691,8101,8754,9319,9875,10466,11359,11922,12173,13054,13651,13843,14469,15530,16622,18134,19556,21001,20030,21581,24572,28617
"40003","6","CA91","20","1990","Outflows of earnings","Alfalfa, OK ",9861,7660,6680,6639,6651,6659,6559,6797,6989,7240,7410,7939,8197,7786,7921,7807,8278,8853,9658,9643,11248,12625,15562
"40003","6","CA91","30","1990","Residence adjustment","Alfalfa, OK ",-2513,31,1421,2115,2668,3216,3907,4562,4933,4933,5644,5712,5646,6683,7609,8815,9856,10703,11343,10387,10333,11947,13055
"40005","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Atoka, OK ",12677,14508,16928,18830,20414,22169,24155,26223,28385,30436,33431,35718,37112,38078,39828,42755,46330,48843,50252,49114,50973,52665,54039
"40005","6","CA91","20","1990","Outflows of earnings","Atoka, OK ",6962,7619,9199,9614,10326,11147,11942,12549,14019,15136,16345,16394,17161,17866,18066,18864,20545,20883,21245,21528,21547,22757,24008
"40005","6","CA91","30","1990","Residence adjustment","Atoka, OK ",5715,6889,7729,9216,10088,11022,12213,13674,14366,15300,17086,19324,19951,20212,21762,23891,25785,27960,29007,27586,29426,29908,30031
"40007","6","CA91","10","1990","Inflows of earnings (thousands of dollars)","Beaver, OK ",13258,15317,15941,16579,18021,19246,20374,22000,23696,24825,27160,26925,26143,27275,28480,29750,32160,34252,36734,34367,36194,39026,40074
"40007","6","CA91","20","1990","Outflows of earnings","Beaver, OK ",6746,6847,6444,6494,6128,6552,6243,6324,6790,6647,6983,7671,6750,6559,7342,7757,8667,9604,10357,9678,10926,13374,16210
"40007","6","CA91","30","1990","Residence adjustment","Beaver, OK ",6512,8470,9497,10085,11893,12694,14131,15676,16906,18178,20177,19254,19393,20716,21138,21993,23493,24648,26377,24689,25268,25652,23864
