"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"29001","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Adair, MO ",12937,13445,13875,14513,16116,17458,18509,19850,21125,22009,22894,23338,24205,23730,24653,25895,28708,30376,33140,33283,33445,32190,32863
"29001","4","CA91","20","1990","Outflows of earnings","Adair, MO ",29747,31175,35688,37366,39764,42643,43534,45582,47388,50223,52952,51181,51346,52199,52624,58541,58979,58726,58424,58982,58541,57281,59883
"29001","4","CA91","30","1990","Residence adjustment","Adair, MO ",-16810,-17730,-21813,-22853,-23648,-25185,-25025,-25732,-26263,-28214,-30058,-27843,-27141,-28469,-27971,-32646,-30271,-28350,-25284,-25699,-25096,-25091,-27020
"29003","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Andrew, MO ",101912,109601,118880,127607,137148,144504,148151,159252,175652,193049,210953,229789,235932,243656,261416,288079,329212,362230,392435,406527,417472,442076,467551
"29003","4","CA91","20","1990","Outflows of earnings","Andrew, MO ",9460,10142,10202,10540,11995,13088,14152,15471,16879,18566,19638,20326,21344,21975,23011,22662,22123,23090,22356,20808,20278,19659,19353
"29003","4","CA91","30","1990","Residence adjustment","Andrew, MO ",92452,99459,108678,117067,125153,131416,133999,143781,158773,174483,191315,209463,214588,221681,238405,265417,307089,339140,370079,385719,397194,422417,448198
"29005","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Atchison, MO ",7914,9016,10918,12713,14641,16063,16192,17525,20648,22238,24600,26023,26223,27436,30606,30379,31221,31814,32400,31051,30653,32744,33067
"29005","4","CA91","20","1990","Outflows of earnings","Atchison, MO ",5567,5756,4199,3987,4501,5246,5938,6370,6870,7145,7567,7558,7731,8091,8247,8129,8477,8968,9485,9666,10210,10016,10024
"29005","4","CA91","30","1990","Residence adjustment","Atchison, MO ",2347,3260,6719,8726,10140,10817,10254,11155,13778,15093,17033,18465,18492,19345,22359,22250,22744,22846,22915,21385,20443,22728,23043
"29007","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Audrain, MO ",35625,38521,41707,43580,47350,50807,54606,57652,62479,67391,72270,75949,76774,80537,85768,89032,91495,94394,93538,93343,96388,99566,102339
"29007","4","CA91","20","1990","Outflows of earnings","Audrain, MO ",39305,41075,42418,46867,51832,55115,56716,62984,73485,71516,77673,85002,81299,81041,84012,89384,95665,101183,102896,97817,97588,100317,103788
"29007","4","CA91","30","1990","Residence adjustment","Audrain, MO ",-3680,-2554,-711,-3287,-4482,-4308,-2110,-5332,-11006,-4125,-5403,-9053,-4525,-504,1756,-352,-4170,-6789,-9358,-4474,-1200,-751,-1449
"29009","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Barry, MO ",33778,37490,42312,47316,52815,57341,60587,65491,71734,79177,86205,93773,98320,103906,110011,115557,122604,130016,133193,129578,132841,136971,142939
"29009","4","CA91","20","1990","Outflows of earnings","Barry, MO ",73677,79848,86644,89707,98245,105346,111196,121119,129913,139900,166069,166280,166981,173507,177249,187207,203173,208369,202506,200203,202893,208944,211993
"29009","4","CA91","30","1990","Residence adjustment","Barry, MO ",-39899,-42358,-44332,-42391,-45430,-48005,-50609,-55628,-58179,-60723,-79864,-72507,-68661,-69601,-67238,-71650,-80569,-78353,-69313,-70625,-70052,-71973,-69054
"29011","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Barton, MO ",18781,19732,21144,22191,24291,25696,27002,28404,30116,32151,33829,35427,36221,37521,38753,40096,42691,44302,45764,44761,45518,47541,49886
"29011","4","CA91","20","1990","Outflows of earnings","Barton, MO ",15110,17475,20004,22773,26035,27232,28516,31681,35437,40234,41193,41596,44330,44793,46568,45452,41577,35273,30888,30619,30737,29861,29682
"29011","4","CA91","30","1990","Residence adjustment","Barton, MO ",3671,2257,1140,-582,-1744,-1536,-1514,-3277,-5321,-8083,-7364,-6169,-8109,-7272,-7815,-5356,1114,9029,14876,14142,14781,17680,20204
"29013","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bates, MO ",40030,41981,45730,49138,57264,59888,65429,73838,81031,88044,100443,115110,118014,122059,128515,134959,141362,147049,149731,139776,138179,137898,136668
"29013","4","CA91","20","1990","Outflows of earnings","Bates, MO ",5215,6125,7524,8426,8560,10160,11176,11970,13720,15239,16326,16290,17140,17626,17970,19164,20713,21822,22925,24373,25326,27036,28770
"29013","4","CA91","30","1990","Residence adjustment","Bates, MO ",34815,35856,38206,40712,48704,49728,54253,61868,67311,72805,84117,98820,100874,104433,110545,115795,120649,125227,126806,115403,112853,110862,107898
"29015","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Benton, MO ",25565,27366,30337,33277,37180,41238,44496,49402,54827,61090,65683,70255,72119,74109,77556,81965,84287,88255,90406,88616,91027,92539,94887
"29015","4","CA91","20","1990","Outflows of earnings","Benton, MO ",8270,8550,8694,8776,9584,10438,11177,11536,11884,12149,12451,12119,13850,15180,16527,17275,17812,17545,17327,17505,17828,17475,18158
"29015","4","CA91","30","1990","Residence adjustment","Benton, MO ",17295,18816,21643,24501,27596,30800,33319,37866,42943,48941,53232,58136,58269,58929,61029,64690,66475,70710,73079,71111,73199,75064,76729
"29017","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bollinger, MO ",36889,39235,42961,46586,51797,55563,57708,61683,67824,75127,79952,79347,82829,85503,89536,93335,96865,100101,100170,98809,102286,105127,110284
"29017","4","CA91","20","1990","Outflows of earnings","Bollinger, MO ",4078,4512,4972,5313,5964,6639,6931,7804,7880,8467,9342,10252,10681,10983,11589,11846,11975,12073,12353,21625,14320,12673,13572
"29017","4","CA91","30","1990","Residence adjustment","Bollinger, MO ",32811,34723,37989,41273,45833,48924,50777,53879,59944,66660,70610,69095,72148,74520,77947,81489,84890,88028,87817,77184,87966,92454,96712
"29019","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Boone, MO ",114028,122295,134081,142260,151619,164064,175411,188761,205452,222281,239352,263373,268252,283870,300882,316857,319614,341137,346496,350315,356244,358661,362258
"29019","4","CA91","20","1990","Outflows of earnings","Boone, MO ",167592,185062,206026,220485,248280,268753,294121,314280,344707,370677,404971,420149,435523,449782,481357,513684,535823,562062,555670,553938,580155,609758,644090
"29019","4","CA91","30","1990","Residence adjustment","Boone, MO ",-53564,-62767,-71945,-78225,-96661,-104689,-118710,-125519,-139255,-148396,-165619,-156776,-167271,-165912,-180475,-196827,-216209,-220925,-209174,-203623,-223911,-251097,-281832
"29021","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Buchanan, MO ",99600,103532,112805,117319,127582,137866,147731,161003,172722,183485,195929,194250,192171,192256,204084,207842,214304,225286,224325,205346,203809,205932,207785
"29021","4","CA91","20","1990","Outflows of earnings","Buchanan, MO ",199010,211987,222760,233550,248343,260689,264776,280941,307676,339782,372646,401141,416074,429081,454278,489187,544293,586248,624374,653342,660428,693442,733740
"29021","4","CA91","30","1990","Residence adjustment","Buchanan, MO ",-99410,-108455,-109955,-116231,-120761,-122823,-117045,-119938,-134954,-156297,-176717,-206891,-223903,-236825,-250194,-281345,-329989,-360962,-400049,-447996,-456619,-487510,-525955
"29023","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Butler, MO ",24380,26873,29870,32098,35745,39211,42133,45360,49293,53929,58390,54363,55951,58397,61603,62864,64732,64886,64521,62518,63724,64120,65151
"29023","4","CA91","20","1990","Outflows of earnings","Butler, MO ",38463,42127,47658,53926,60592,67813,72809,78334,88909,97462,103025,110517,117026,123098,132141,139263,139781,141986,150136,147570,152488,156339,153578
"29023","4","CA91","30","1990","Residence adjustment","Butler, MO ",-14083,-15254,-17788,-21828,-24847,-28602,-30676,-32974,-39616,-43533,-44635,-56154,-61075,-64701,-70538,-76399,-75049,-77100,-85615,-85052,-88764,-92219,-88427
"29025","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Caldwell, MO ",29118,31753,36085,40844,46750,52030,56303,64039,67450,70750,79954,87967,90045,91935,104014,111290,119989,125170,131856,132074,138106,146027,149028
"29025","4","CA91","20","1990","Outflows of earnings","Caldwell, MO ",7433,7713,8031,8362,9215,8923,9761,9081,9662,11121,11506,12049,13075,12694,21198,18372,18575,22925,21515,20295,24707,24375,24207
"29025","4","CA91","30","1990","Residence adjustment","Caldwell, MO ",21685,24040,28054,32482,37535,43107,46542,54958,57788,59629,68448,75918,76970,79241,82816,92918,101414,102245,110341,111779,113399,121652,124821
"29027","4","CA91","10","1990","Inflows of earnings (thousands of dollars)","Callaway, MO ",131727,140196,153925,168110,190234,203973,218146,233814,253107,271497,292883,324985,330706,343554,359700,370205,388078,401920,407641,396478,404104,414680,431585
