"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"45001","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Abbeville, SC ",75469,78527,85701,92798,100940,109982,115575,125863,134167,144587,156201,166710,164553,168698,174187,179165,185352,193982,203969,193108,195647,208950,213139
"45001","5","CA91","20","1990","Outflows of earnings","Abbeville, SC ",39075,40455,48105,49928,54916,57687,62839,69895,76149,84061,94195,89508,80196,76029,80182,82654,83094,80088,80160,71280,72196,76224,78769
"45001","5","CA91","30","1990","Residence adjustment","Abbeville, SC ",36394,38072,37596,42870,46024,52295,52736,55968,58018,60526,62006,77202,84357,92669,94005,96511,102258,113894,123809,121828,123451,132726,134370
"45003","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Aiken, SC ",320985,323242,342565,355213,388140,424151,446850,497405,578152,627583,679269,628338,643636,683289,754517,774009,784103,808035,824037,806738,800026,809648,827950
"45003","5","CA91","20","1990","Outflows of earnings","Aiken, SC ",647077,685959,743500,778094,755055,729929,701878,692115,676889,729958,732340,657690,680725,702820,738431,762936,786547,829537,863788,861441,952547,1048024,1031528
"45003","5","CA91","30","1990","Residence adjustment","Aiken, SC ",-326092,-362717,-400935,-422881,-366915,-305778,-255028,-194710,-98737,-102375,-53071,-29352,-37089,-19531,16086,11073,-2444,-21502,-39751,-54703,-152521,-238376,-203578
"45005","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Allendale, SC ",26252,25510,27097,27588,28485,28019,27952,29259,32425,34095,32302,25645,25821,26494,27436,28635,29604,30406,30716,28970,28777,30363,30907
"45005","5","CA91","20","1990","Outflows of earnings","Allendale, SC ",33731,36400,38473,40028,42315,46450,45850,51708,56200,57248,60765,62532,61572,58557,60231,62726,83908,79310,69820,65650,69505,71504,71810
"45005","5","CA91","30","1990","Residence adjustment","Allendale, SC ",-7479,-10890,-11376,-12440,-13830,-18431,-17898,-22449,-23775,-23153,-28463,-36887,-35751,-32063,-32795,-34091,-54304,-48904,-39104,-36680,-40728,-41141,-40903
"45007","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Anderson, SC ",540517,556204,562434,586537,614170,665782,704438,777928,846635,915480,982746,999980,995676,1026096,1059456,1120488,1187427,1245412,1303373,1220169,1287938,1363598,1397774
"45007","5","CA91","20","1990","Outflows of earnings","Anderson, SC ",187659,195047,221541,247886,273760,293314,310001,321436,341621,365355,393662,423486,411396,423121,434020,439561,454848,478338,482961,452707,456356,500549,515981
"45007","5","CA91","30","1990","Residence adjustment","Anderson, SC ",352858,361157,340893,338651,340410,372468,394437,456492,505014,550125,589084,576494,584280,602975,625436,680927,732579,767074,820412,767462,831582,863049,881793
"45009","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bamberg, SC ",44774,44915,50512,52757,55343,56068,56813,61126,69368,71912,70277,64223,64567,66611,68845,71300,73995,76755,76582,74381,72148,75954,76340
"45009","5","CA91","20","1990","Outflows of earnings","Bamberg, SC ",16865,18843,20821,23006,24708,26896,29070,31387,34600,38245,42455,46962,49043,48893,51145,52624,55447,57448,57756,53544,54974,56369,55405
"45009","5","CA91","30","1990","Residence adjustment","Bamberg, SC ",27909,26072,29691,29751,30635,29172,27743,29739,34768,33667,27822,17261,15524,17718,17700,18676,18548,19307,18826,20837,17174,19585,20935
"45011","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Barnwell, SC ",71456,77534,85888,90565,92881,96688,96760,102583,108867,116223,124034,96736,98671,98486,101190,103767,112669,116494,115391,110557,115300,121705,122315
"45011","5","CA91","20","1990","Outflows of earnings","Barnwell, SC ",52986,50610,63156,68792,76942,80414,83261,97331,129755,137181,124380,80792,78959,82550,83806,85782,82864,81318,77324,68767,65394,68919,67387
"45011","5","CA91","30","1990","Residence adjustment","Barnwell, SC ",18470,26924,22732,21773,15939,16274,13499,5252,-20888,-20958,-346,15944,19712,15936,17384,17985,29805,35176,38067,41790,49906,52786,54928
"45013","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Beaufort, SC ",56866,60291,67495,73336,80068,87449,96301,105326,117195,128824,141687,146066,147774,152951,167886,179766,199024,214697,217840,205671,201544,210138,219432
"45013","5","CA91","20","1990","Outflows of earnings","Beaufort, SC ",91562,96347,109222,120063,136970,157697,178939,203035,227113,257066,284140,282514,286405,312030,336840,361250,384351,401508,388636,357251,349340,366545,383748
"45013","5","CA91","30","1990","Residence adjustment","Beaufort, SC ",-34696,-36056,-41727,-46727,-56902,-70248,-82638,-97709,-109918,-128242,-142453,-136448,-138631,-159079,-168954,-181484,-185327,-186811,-170796,-151580,-147796,-156407,-164316
"45015","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Berkeley, SC ",1039252,1081173,1108339,1102563,1061093,999521,937996,995350,1060653,1208365,1310162,1393565,1478949,1581981,1696397,1823908,1954370,2125220,2229636,2187428,2324369,2582893,2724348
"45015","5","CA91","20","1990","Outflows of earnings","Berkeley, SC ",210319,214506,221290,234826,244340,256943,298004,342082,395895,422125,461742,510895,542414,570733,604819,653795,719258,784790,815544,774248,747104,772231,773192
"45015","5","CA91","30","1990","Residence adjustment","Berkeley, SC ",828933,866667,887049,867737,816753,742578,639992,653268,664758,786240,848420,882670,936535,1011248,1091578,1170113,1235112,1340430,1414092,1413180,1577265,1810662,1951156
"45017","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Calhoun, SC ",73555,76107,80919,83855,84272,87552,93615,105978,112775,122744,136881,141319,146400,154413,163142,170058,181242,187759,188473,177679,175077,184872,189227
"45017","5","CA91","20","1990","Outflows of earnings","Calhoun, SC ",61541,55486,58087,59726,69734,72505,71357,63583,65816,64073,59393,73892,80088,84097,88744,89247,94108,100829,101895,95498,96393,99737,94799
