"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"13001","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Appling, GA ",32351,31785,34050,35636,38750,42169,44307,46625,49763,52974,55554,55390,55680,57380,61262,63002,66267,67388,66491,62834,64598,67918,69659
"13001","5","CA91","20","1990","Outflows of earnings","Appling, GA ",62845,77955,74185,75449,81608,74131,72002,77463,75568,79309,80804,87239,87550,92046,98682,93456,102077,105954,109721,114538,118330,132381,130685
"13001","5","CA91","30","1990","Residence adjustment","Appling, GA ",-30494,-46170,-40135,-39813,-42858,-31962,-27695,-30838,-25805,-26335,-25250,-31849,-31870,-34666,-37420,-30454,-35810,-38566,-43230,-51704,-53732,-64463,-61026
"13003","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Atkinson, GA ",16600,17275,19036,20079,22147,24169,25680,27273,30381,32807,33154,32353,33354,33298,35069,36357,37019,37389,36459,33416,32329,34748,35161
"13003","5","CA91","20","1990","Outflows of earnings","Atkinson, GA ",10500,9735,11388,13361,15656,17198,18319,18084,19572,21691,20097,18746,19496,22557,21920,23868,24590,21914,23588,20742,20157,22181,22558
"13003","5","CA91","30","1990","Residence adjustment","Atkinson, GA ",6100,7540,7648,6718,6491,6971,7361,9189,10809,11116,13057,13607,13858,10741,13149,12489,12429,15475,12871,12674,12172,12567,12603
"13005","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Bacon, GA ",21369,22288,23159,23647,25185,25365,25949,26968,28392,29664,30034,29173,30093,30828,32669,34365,35274,35222,35045,33686,33370,34886,35609
"13005","5","CA91","20","1990","Outflows of earnings","Bacon, GA ",14645,15025,16616,18350,20025,22045,22611,22213,24030,25864,26927,25798,24569,25212,27328,29806,30007,30573,30739,28420,28475,30247,30574
"13005","5","CA91","30","1990","Residence adjustment","Bacon, GA ",6724,7263,6543,5297,5160,3320,3338,4755,4362,3800,3107,3375,5524,5616,5341,4559,5267,4649,4306,5266,4895,4639,5035
"13007","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Baker, GA ",14908,14742,15549,20760,23176,23550,26408,27956,29579,30249,32231,40846,40687,43039,44145,45601,46004,46008,45861,46272,46216,45959,46767
"13007","5","CA91","20","1990","Outflows of earnings","Baker, GA ",2443,3241,2974,2190,2823,4760,5371,6169,7437,7881,8365,17470,18786,19126,19123,19316,18460,20417,21583,21759,20921,21351,22104
"13007","5","CA91","30","1990","Residence adjustment","Baker, GA ",12465,11501,12575,18570,20353,18790,21037,21787,22142,22368,23866,23376,21901,23913,25022,26285,27544,25591,24278,24513,25295,24608,24663
"13009","5","CA91","10","1990","Inflows of earnings (thousands of dollars)","Baldwin, GA ",58848,58552,64925,70482,77500,85195,91959,98065,106085,115178,122217,128159,129099,129452,135438,141056,148390,149089,148619,144000,143342,148489,150048
