"FIPS","Region","Table","LineCode","FirstYear","LineTitle","AreaName","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"09001","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Fairfield, CT ",5369375,5482322,6570218,6426013,6499161,7351972,8286181,8637110,10102061,10619157,11713904,11642454,10877372,10861630,11798108,12329846,13258361,14490932,14433332,12489047,13737306,14196760,14583956
"09001","1","CA91","20","1990","Outflows of earnings","Fairfield, CT ",3559291,3689883,3677340,4153721,4459018,4728953,5014753,6016344,6280090,7163837,8319438,9099998,8704074,9039407,9709287,10419644,11315617,12644657,12930557,12424163,12473696,13548852,13728531
"09001","1","CA91","30","1990","Residence adjustment","Fairfield, CT ",1810084,1792439,2892878,2272292,2040143,2623019,3271428,2620766,3821971,3455320,3394466,2542456,2173298,1822223,2088821,1910202,1942744,1846275,1502775,64884,1263610,647908,855425
"09003","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Hartford, CT ",1398896,1452155,1521528,1582710,1683865,1821766,1988892,2178317,2351144,2520999,2778223,2959366,2980138,3092817,3277293,3357743,3502024,3608094,3648271,3459957,3369089,3468379,3567445
"09003","1","CA91","20","1990","Outflows of earnings","Hartford, CT ",4820796,4862976,5050197,5237753,5353670,5456891,5585205,5942525,6416401,6956089,7565874,8184286,8148833,8272012,8893561,9397409,9692363,10440343,10591889,10213205,10557604,11271519,11522676
"09003","1","CA91","30","1990","Residence adjustment","Hartford, CT ",-3421900,-3410821,-3528669,-3655043,-3669805,-3635125,-3596313,-3764208,-4065257,-4435090,-4787651,-5224920,-5168695,-5179195,-5616268,-6039666,-6190339,-6832249,-6943618,-6753248,-7188515,-7803140,-7955231
"09005","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Litchfield, CT ",1441552,1463978,1540187,1593533,1641056,1740010,1853215,2017876,2190791,2358451,2600432,2723457,2676854,2735410,2921676,3052874,3205375,3439023,3464285,3272689,3354864,3531615,3625433
"09005","1","CA91","20","1990","Outflows of earnings","Litchfield, CT ",475752,470641,493619,508121,543035,561756,596212,630608,664295,697302,750435,758657,751655,769368,788579,799394,825879,853447,870285,815195,817306,847273,866946
"09005","1","CA91","30","1990","Residence adjustment","Litchfield, CT ",965800,993337,1046568,1085412,1098021,1178254,1257003,1387268,1526496,1661149,1849997,1964800,1925199,1966042,2133097,2253480,2379496,2585576,2594000,2457494,2537558,2684342,2758487
"09007","1","CA91","10","1990","Inflows of earnings (thousands of dollars)","Middlesex, CT ",1215879,1244117,1332419,1413712,1469345,1549814,1656928,1795906,1963568,2100948,2327037,2500910,2511735,2570435,2712437,2825897,2904297,3093388,3148035,3044667,3158777,3323598,3334301
